Time (s),Intensity
1.0,510.0
2.0,509.0
3.0,509.0
4.0,509.0
5.0,508.0
6.0,509.0
7.0,509.0
8.0,509.0
9.0,509.0
10.0,508.0
11.0,508.0
12.0,505.0
13.0,508.0
14.0,509.0
15.0,509.0
16.0,509.0
17.0,509.0
18.0,509.0
19.0,504.0
20.0,508.0
21.0,508.0
22.0,508.0
23.0,509.0
24.0,509.0
25.0,508.0
26.0,507.0
27.0,508.0
28.0,507.0
29.0,508.0
30.0,508.0
31.0,509.0
32.0,509.0
34.0,509.0
35.0,509.0
36.0,505.0
37.0,508.0
38.0,508.0
39.0,508.0
40.0,509.0
41.0,509.0
42.0,509.0
43.0,504.0
44.0,509.0
45.0,507.0
46.0,508.0
47.0,508.0
48.0,508.0
49.0,509.0
50.0,506.0
51.0,509.0
52.0,507.0
53.0,508.0
54.0,508.0
55.0,508.0
56.0,509.0
57.0,509.0
58.0,509.0
59.0,506.0
60.0,508.0
61.0,508.0
62.0,508.0
63.0,508.0
64.0,509.0
65.0,508.0
66.0,505.0
67.0,509.0
68.0,509.0
69.0,508.0
70.0,508.0
71.0,508.0
72.0,508.0
73.0,504.0
74.0,509.0
76.0,509.0
77.0,509.0
78.0,508.0
79.0,508.0
80.0,508.0
81.0,506.0
82.0,509.0
83.0,508.0
84.0,509.0
85.0,508.0
86.0,507.0
87.0,508.0
88.0,508.0
89.0,509.0
90.0,506.0
91.0,509.0
92.0,509.0
93.0,509.0
94.0,508.0
95.0,507.0
96.0,508.0
97.0,505.0
98.0,509.0
99.0,508.0
100.0,509.0
101.0,509.0
102.0,508.0
103.0,508.0
104.0,508.0
105.0,507.0
106.0,507.0
107.0,509.0
108.0,509.0
109.0,509.0
110.0,508.0
111.0,508.0
112.0,508.0
113.0,508.0
114.0,509.0
115.0,508.0
116.0,509.0
117.0,509.0
119.0,508.0
120.0,508.0
121.0,508.0
122.0,508.0
123.0,509.0
124.0,510.0
125.0,504.0
126.0,507.0
127.0,508.0
128.0,508.0
129.0,508.0
130.0,509.0
131.0,509.0
132.0,509.0
133.0,509.0
134.0,509.0
135.0,509.0
136.0,507.0
137.0,508.0
138.0,508.0
139.0,509.0
140.0,509.0
141.0,509.0
142.0,509.0
143.0,509.0
144.0,509.0
145.0,508.0
146.0,508.0
147.0,509.0
148.0,509.0
149.0,509.0
150.0,509.0
151.0,509.0
152.0,508.0
153.0,508.0
154.0,509.0
155.0,509.0
156.0,509.0
157.0,509.0
158.0,509.0
159.0,509.0
160.0,508.0
162.0,508.0
163.0,508.0
164.0,509.0
165.0,508.0
166.0,509.0
