Time (s),Intensity
1.0,516.0
2.0,516.0
3.0,515.0
4.0,515.0
5.0,515.0
6.0,514.0
7.0,514.0
8.0,515.0
9.0,515.0
10.0,515.0
11.0,515.0
12.0,515.0
13.0,514.0
14.0,514.0
15.0,461.0
16.0,491.0
17.0,467.0
18.0,499.0
19.0,470.0
20.0,470.0
21.0,472.0
22.0,471.0
23.0,494.0
24.0,479.0
25.0,504.0
26.0,478.0
27.0,481.0
28.0,476.0
29.0,483.0
30.0,490.0
31.0,483.0
32.0,505.0
33.0,479.0
34.0,495.0
35.0,482.0
36.0,485.0
37.0,486.0
39.0,485.0
40.0,506.0
41.0,487.0
42.0,503.0
43.0,492.0
44.0,488.0
45.0,487.0
46.0,495.0
47.0,502.0
48.0,487.0
49.0,508.0
50.0,495.0
51.0,498.0
52.0,493.0
53.0,493.0
54.0,500.0
55.0,491.0
56.0,507.0
57.0,490.0
58.0,495.0
59.0,491.0
60.0,493.0
61.0,494.0
62.0,494.0
63.0,507.0
64.0,495.0
65.0,503.0
66.0,497.0
67.0,501.0
68.0,496.0
69.0,497.0
70.0,508.0
71.0,495.0
72.0,505.0
73.0,499.0
74.0,499.0
75.0,493.0
76.0,499.0
77.0,509.0
78.0,498.0
79.0,506.0
80.0,495.0
82.0,501.0
83.0,496.0
84.0,498.0
85.0,509.0
86.0,501.0
87.0,509.0
88.0,496.0
89.0,502.0
90.0,497.0
91.0,498.0
92.0,507.0
93.0,500.0
94.0,510.0
95.0,500.0
96.0,501.0
97.0,496.0
98.0,504.0
99.0,499.0
100.0,501.0
101.0,511.0
102.0,498.0
103.0,507.0
104.0,498.0
105.0,501.0
106.0,499.0
107.0,499.0
108.0,511.0
109.0,501.0
110.0,509.0
111.0,500.0
112.0,500.0
113.0,500.0
114.0,500.0
115.0,509.0
116.0,500.0
117.0,510.0
118.0,502.0
119.0,501.0
120.0,500.0
121.0,499.0
122.0,508.0
123.0,501.0
125.0,510.0
126.0,504.0
127.0,503.0
128.0,504.0
129.0,501.0
130.0,505.0
131.0,501.0
132.0,510.0
133.0,500.0
134.0,505.0
135.0,499.0
136.0,503.0
137.0,503.0
138.0,500.0
139.0,510.0
140.0,498.0
141.0,507.0
142.0,498.0
143.0,504.0
144.0,500.0
145.0,503.0
146.0,510.0
147.0,502.0
148.0,508.0
149.0,501.0
150.0,504.0
151.0,504.0
152.0,502.0
153.0,510.0
154.0,501.0
155.0,502.0
156.0,500.0
157.0,501.0
158.0,509.0
159.0,500.0
160.0,511.0
161.0,498.0
162.0,505.0
163.0,498.0
164.0,503.0
165.0,509.0
167.0,503.0
168.0,510.0
169.0,503.0
170.0,502.0
171.0,501.0
172.0,501.0
173.0,508.0
174.0,499.0
175.0,512.0
176.0,501.0
177.0,506.0
178.0,500.0
179.0,504.0
180.0,506.0
181.0,503.0
182.0,510.0
183.0,504.0
184.0,505.0
185.0,503.0
186.0,502.0
187.0,502.0
188.0,501.0
189.0,511.0
190.0,502.0
191.0,508.0
192.0,501.0
193.0,505.0
194.0,499.0
195.0,504.0
196.0,510.0
197.0,502.0
198.0,504.0
199.0,503.0
200.0,502.0
201.0,507.0
202.0,504.0
203.0,511.0
204.0,500.0
205.0,505.0
206.0,498.0
207.0,505.0
208.0,504.0
210.0,506.0
211.0,510.0
212.0,506.0
213.0,503.0
214.0,500.0
215.0,503.0
216.0,506.0
217.0,502.0
218.0,511.0
219.0,501.0
220.0,506.0
221.0,499.0
222.0,508.0
223.0,503.0
224.0,503.0
225.0,511.0
226.0,501.0
227.0,507.0
228.0,500.0
229.0,503.0
230.0,500.0
231.0,503.0
232.0,511.0
233.0,503.0
234.0,511.0
235.0,502.0
236.0,503.0
237.0,501.0
238.0,500.0
239.0,511.0
240.0,500.0
241.0,509.0
242.0,499.0
243.0,505.0
244.0,498.0
245.0,504.0
246.0,510.0
247.0,503.0
248.0,508.0
249.0,503.0
250.0,502.0
251.0,503.0
253.0,501.0
254.0,511.0
255.0,499.0
256.0,508.0
257.0,500.0
258.0,504.0
259.0,502.0
260.0,503.0
261.0,511.0
262.0,501.0
263.0,508.0
264.0,502.0
265.0,503.0
266.0,505.0
267.0,504.0
268.0,510.0
269.0,503.0
270.0,510.0
271.0,503.0
272.0,503.0
273.0,501.0
274.0,501.0
275.0,510.0
276.0,502.0
277.0,512.0
278.0,504.0
279.0,505.0
280.0,500.0
281.0,505.0
282.0,506.0
283.0,505.0
284.0,511.0
285.0,509.0
286.0,503.0
287.0,504.0
288.0,502.0
289.0,505.0
290.0,503.0
291.0,512.0
292.0,502.0
293.0,506.0
295.0,501.0
296.0,505.0
297.0,502.0
298.0,507.0
299.0,511.0
300.0,502.0
301.0,508.0
302.0,499.0
303.0,505.0
304.0,498.0
305.0,504.0
306.0,510.0
307.0,504.0
308.0,508.0
309.0,503.0
310.0,506.0
311.0,501.0
312.0,502.0
313.0,510.0
314.0,501.0
315.0,509.0
316.0,501.0
317.0,513.0
318.0,513.0
319.0,510.0
320.0,515.0
321.0,513.0
322.0,520.0
323.0,516.0
324.0,520.0
325.0,517.0
326.0,517.0
327.0,516.0
328.0,516.0
329.0,526.0
330.0,516.0
331.0,517.0
332.0,516.0
333.0,514.0
334.0,517.0
335.0,516.0
336.0,524.0
338.0,515.0
339.0,515.0
340.0,515.0
341.0,516.0
342.0,515.0
343.0,516.0
344.0,515.0
345.0,515.0
346.0,514.0
347.0,515.0
348.0,515.0
349.0,515.0
350.0,515.0
351.0,515.0
352.0,515.0
353.0,515.0
354.0,515.0
