Time (s),Intensity
2.0,509.0
3.0,508.0
4.0,508.0
5.0,508.0
6.0,508.0
7.0,508.0
8.0,508.0
9.0,508.0
10.0,508.0
11.0,509.0
12.0,509.0
13.0,508.0
14.0,508.0
15.0,507.0
16.0,452.0
17.0,459.0
18.0,472.0
19.0,459.0
20.0,494.0
21.0,462.0
22.0,480.0
23.0,462.0
24.0,467.0
25.0,468.0
26.0,475.0
27.0,493.0
28.0,474.0
29.0,496.0
30.0,475.0
31.0,480.0
32.0,476.0
33.0,477.0
34.0,480.0
35.0,481.0
36.0,499.0
37.0,474.0
38.0,492.0
39.0,476.0
40.0,483.0
41.0,476.0
42.0,485.0
43.0,494.0
45.0,484.0
46.0,499.0
47.0,480.0
48.0,489.0
49.0,482.0
50.0,481.0
51.0,486.0
52.0,487.0
53.0,501.0
54.0,484.0
55.0,494.0
56.0,482.0
57.0,486.0
58.0,486.0
59.0,490.0
60.0,499.0
61.0,490.0
62.0,502.0
63.0,490.0
64.0,494.0
65.0,488.0
66.0,491.0
67.0,492.0
68.0,491.0
69.0,502.0
70.0,490.0
71.0,497.0
72.0,485.0
73.0,488.0
74.0,487.0
75.0,493.0
76.0,500.0
77.0,491.0
78.0,503.0
79.0,486.0
80.0,493.0
81.0,491.0
82.0,493.0
83.0,489.0
84.0,490.0
85.0,502.0
86.0,493.0
88.0,500.0
89.0,488.0
90.0,493.0
91.0,491.0
92.0,493.0
93.0,498.0
94.0,491.0
95.0,504.0
96.0,490.0
97.0,494.0
98.0,492.0
99.0,495.0
100.0,488.0
101.0,493.0
102.0,503.0
103.0,491.0
104.0,501.0
105.0,495.0
106.0,494.0
107.0,490.0
108.0,495.0
109.0,497.0
110.0,494.0
111.0,504.0
112.0,491.0
113.0,498.0
114.0,492.0
115.0,492.0
116.0,494.0
117.0,494.0
118.0,502.0
119.0,494.0
120.0,502.0
121.0,495.0
122.0,495.0
123.0,490.0
124.0,496.0
125.0,496.0
126.0,496.0
127.0,504.0
128.0,492.0
130.0,498.0
131.0,490.0
132.0,496.0
133.0,491.0
134.0,494.0
135.0,503.0
136.0,492.0
137.0,504.0
138.0,492.0
139.0,496.0
140.0,492.0
141.0,493.0
142.0,498.0
143.0,493.0
144.0,504.0
145.0,492.0
146.0,499.0
147.0,494.0
148.0,493.0
149.0,495.0
150.0,493.0
151.0,503.0
152.0,495.0
153.0,503.0
154.0,495.0
155.0,494.0
156.0,494.0
157.0,493.0
158.0,498.0
159.0,495.0
160.0,504.0
161.0,494.0
162.0,500.0
163.0,493.0
164.0,495.0
165.0,493.0
166.0,493.0
167.0,503.0
168.0,493.0
169.0,504.0
170.0,492.0
171.0,498.0
173.0,490.0
174.0,496.0
175.0,497.0
176.0,495.0
177.0,503.0
178.0,493.0
179.0,500.0
180.0,491.0
181.0,497.0
182.0,491.0
183.0,496.0
184.0,502.0
185.0,496.0
186.0,502.0
187.0,496.0
188.0,495.0
189.0,493.0
190.0,494.0
191.0,499.0
192.0,495.0
193.0,503.0
194.0,498.0
195.0,498.0
196.0,494.0
197.0,494.0
198.0,493.0
199.0,495.0
200.0,503.0
201.0,493.0
202.0,504.0
203.0,492.0
204.0,498.0
205.0,491.0
206.0,497.0
207.0,495.0
208.0,496.0
209.0,504.0
210.0,495.0
211.0,503.0
212.0,494.0
213.0,496.0
214.0,493.0
216.0,495.0
217.0,500.0
218.0,495.0
219.0,503.0
220.0,494.0
221.0,499.0
222.0,494.0
223.0,495.0
224.0,497.0
225.0,494.0
226.0,502.0
227.0,494.0
228.0,504.0
229.0,494.0
230.0,498.0
231.0,491.0
232.0,496.0
233.0,490.0
234.0,497.0
