Time (s),Intensity
1,288
2,288
3,287
4,286
5,287
6,287
7,231
8,256
9,260
10,251
11,284
12,255
13,288
14,262
15,265
16,264
17,255
18,287
19,270
20,274
21,268
22,269
23,280
24,263
25,286
27,263
28,273
29,268
30,265
31,288
32,267
33,288
34,270
35,273
36,268
37,275
38,286
39,278
40,272
41,271
42,277
43,284
44,271
45,288
46,278
47,273
48,269
49,275
50,287
51,278
52,280
53,276
54,273
55,276
56,275
57,286
58,274
59,276
60,276
61,273
62,280
63,275
64,286
65,278
66,276
67,271
69,273
70,280
71,275
72,287
73,278
74,281
75,277
76,277
77,285
78,275
79,285
80,276
81,281
82,280
83,279
84,287
85,275
86,280
87,278
88,281
89,280
90,279
91,287
92,278
93,281
94,278
95,277
96,280
97,279
98,288
99,279
100,276
101,276
102,279
103,287
104,275
105,284
106,278
107,281
108,280
109,279
110,287
112,279
113,282
114,276
115,277
116,280
117,279
118,287
119,278
120,282
121,277
122,277
123,284
124,283
125,288
126,278
127,280
128,280
129,277
130,287
131,279
132,284
133,276
134,281
135,280
136,279
137,286
138,279
139,280
140,276
141,281
142,285
143,279
144,287
145,279
146,277
147,276
148,281
149,287
150,275
151,288
152,278
153,277
155,280
156,279
157,286
158,279
159,283
160,276
161,279
162,280
163,279
164,287
165,282
166,280
167,276
168,281
169,284
170,275
171,288
172,278
173,278
174,280
175,277
176,284
177,283
178,288
179,280
180,287
181,287
182,286
183,288
184,289
185,296
186,286
187,287
188,286
189,286
190,288
191,287
192,288
193,286
194,290
195,286
197,287
198,287
199,287
200,290
201,287
202,288
203,287
204,287
205,286
206,291
207,287
208,287
209,290
210,287
211,287
212,287
213,286
214,287
215,288
216,288
217,288
218,287
219,287
220,287
221,287
222,287
223,287
224,289
225,286
226,287
227,287
228,287
229,286
230,287
231,287
232,288
233,288
234,288
235,287
236,287
237,286
238,287
240,287
241,288
242,288
243,288
244,286
245,288
246,287
247,286
248,287
249,288
250,288
251,288
252,287
253,287
254,286
255,287
256,287
257,287
258,288
259,287
260,287
261,286
262,286
263,287
264,287
265,288
266,289
267,288
268,287
269,287
270,286
271,287
