Time (s),Intensity
1.0,524.0
1.0,526.0
2.0,528.0
3.0,528.0
4.0,528.0
17.0,529.0
34.0,484.0
51.0,497.0
68.0,514.0
84.0,511.0
100.0,522.0
119.0,510.0
136.0,520.0
154.0,512.0
171.0,519.0
190.0,514.0
207.0,526.0
224.0,520.0
243.0,527.0
260.0,521.0
278.0,528.0
295.0,517.0
313.0,517.0
331.0,530.0
348.0,528.0
366.0,529.0
384.0,530.0
401.0,529.0
419.0,530.0
436.0,532.0
455.0,532.0
472.0,532.0
490.0,532.0
508.0,533.0
525.0,532.0
543.0,530.0
560.0,531.0
579.0,529.0
596.0,528.0
613.0,530.0
631.0,529.0
649.0,530.0
667.0,531.0
684.0,530.0
702.0,532.0
720.0,530.0
737.0,532.0
755.0,531.0
773.0,530.0
791.0,531.0
808.0,529.0
825.0,530.0
844.0,528.0
861.0,530.0
879.0,528.0
896.0,530.0
914.0,529.0
932.0,530.0
949.0,530.0
967.0,530.0
985.0,530.0
1003.0,530.0
1021.0,531.0
1040.0,530.0
1059.0,529.0
1077.0,530.0
1096.0,530.0
1115.0,529.0
1134.0,529.0
1152.0,529.0
1172.0,529.0
1190.0,529.0
1208.0,529.0
1227.0,530.0
1246.0,530.0
1265.0,530.0
1283.0,529.0
1302.0,530.0
1321.0,529.0
1339.0,529.0
1358.0,528.0
1377.0,528.0
1396.0,528.0
1414.0,530.0
1433.0,529.0
1452.0,529.0
1471.0,530.0
1489.0,530.0
1508.0,528.0
1527.0,529.0
1545.0,528.0
1564.0,529.0
1583.0,528.0
1602.0,529.0
1620.0,529.0
1639.0,529.0
1658.0,529.0
1676.0,529.0
1695.0,529.0
1714.0,529.0
1733.0,528.0
1751.0,529.0
1771.0,528.0
1789.0,529.0
1807.0,528.0
1826.0,528.0
1845.0,529.0
1864.0,529.0
1882.0,529.0
1901.0,529.0
1920.0,529.0
1938.0,529.0
1957.0,528.0
1976.0,528.0
1995.0,528.0
2013.0,529.0
2032.0,528.0
2051.0,528.0
2070.0,528.0
2088.0,528.0
2107.0,528.0
2126.0,528.0
2144.0,528.0
2163.0,529.0
2182.0,528.0
2201.0,528.0
2219.0,528.0
2239.0,529.0
2257.0,528.0
2275.0,528.0
2294.0,528.0
2313.0,528.0
2332.0,528.0
2350.0,528.0
2370.0,528.0
2388.0,528.0
2406.0,529.0
2425.0,528.0
2444.0,528.0
2463.0,528.0
2481.0,528.0
2500.0,528.0
2519.0,528.0
2538.0,529.0
2556.0,529.0
2575.0,527.0
2594.0,529.0
2612.0,529.0
2631.0,529.0
2650.0,528.0
2669.0,528.0
2687.0,529.0
2706.0,528.0
2725.0,526.0
2743.0,528.0
2762.0,528.0
2781.0,529.0
2800.0,528.0
2818.0,529.0
2838.0,529.0
2856.0,528.0
2874.0,528.0
2893.0,528.0
2912.0,529.0
2931.0,529.0
2949.0,528.0
2969.0,528.0
2987.0,529.0
3006.0,528.0
3024.0,528.0
3043.0,528.0
3062.0,529.0
3080.0,529.0
3099.0,528.0
3118.0,528.0
3137.0,529.0
3155.0,528.0
3174.0,528.0
3193.0,528.0
3211.0,529.0
3230.0,529.0
3249.0,528.0
3268.0,527.0
3286.0,529.0
3306.0,529.0
3324.0,528.0
3342.0,528.0
3361.0,529.0
3380.0,528.0
3399.0,528.0
3417.0,529.0
3437.0,528.0
3455.0,528.0
3473.0,529.0
3492.0,528.0
3511.0,529.0
3530.0,529.0
3548.0,528.0
3568.0,528.0
3586.0,528.0
3605.0,529.0
3623.0,528.0
3642.0,528.0
3661.0,528.0
3679.0,529.0
3698.0,528.0
3717.0,528.0
3736.0,527.0
3754.0,529.0
3774.0,528.0
3792.0,528.0
3810.0,528.0
3829.0,529.0
3848.0,528.0
3867.0,528.0
3885.0,528.0
3905.0,528.0
3923.0,525.0
3941.0,528.0
3960.0,527.0
3979.0,531.0
3997.0,29.0
4014.0,23.0
4032.0,30.0
4050.0,23.0
4067.0,29.0
4086.0,530.0
4105.0,530.0
4124.0,529.0
4142.0,528.0
4161.0,528.0
4180.0,528.0
4198.0,528.0
4217.0,527.0
4236.0,528.0
4255.0,528.0
4273.0,528.0
4292.0,528.0
4311.0,528.0
4330.0,528.0
4348.0,528.0
4367.0,528.0
4386.0,528.0
4404.0,528.0
4423.0,527.0
4442.0,527.0
4461.0,528.0
4479.0,528.0
4497.0,528.0
4517.0,527.0
4535.0,528.0
4554.0,528.0
4573.0,527.0
4592.0,528.0
4610.0,528.0
4629.0,528.0
4648.0,528.0
4666.0,528.0
4685.0,528.0
4704.0,528.0
4723.0,528.0
4741.0,528.0
4760.0,528.0
4779.0,528.0
4798.0,528.0
4816.0,528.0
4835.0,528.0
4854.0,528.0
4872.0,528.0
4891.0,527.0
4910.0,528.0
4929.0,528.0
4947.0,528.0
4966.0,527.0
4985.0,528.0
5003.0,528.0
5022.0,528.0
5041.0,527.0
5060.0,528.0
5078.0,529.0
5097.0,528.0
5116.0,528.0
5134.0,528.0
5153.0,528.0
5172.0,528.0
5191.0,527.0
5209.0,528.0
5228.0,528.0
5247.0,528.0
5265.0,528.0
5284.0,527.0
5303.0,528.0
5322.0,528.0
5340.0,527.0
5359.0,528.0
5378.0,528.0
5397.0,527.0
5415.0,527.0
5434.0,528.0
5453.0,528.0
5471.0,528.0
5490.0,527.0
5509.0,527.0
5528.0,528.0
5546.0,528.0
5566.0,528.0
5584.0,527.0
5602.0,528.0
5621.0,528.0
5640.0,528.0
5659.0,528.0
5677.0,528.0
5696.0,528.0
5715.0,528.0
5733.0,528.0
5752.0,528.0
5771.0,528.0
5790.0,528.0
5808.0,528.0
5827.0,528.0
5846.0,529.0
5865.0,528.0
5883.0,528.0
5902.0,528.0
5921.0,528.0
5939.0,528.0
5958.0,528.0
5977.0,528.0
5996.0,528.0
6014.0,528.0
6033.0,528.0
6052.0,528.0
6070.0,528.0
6089.0,528.0
6108.0,528.0
6127.0,528.0
6145.0,529.0
6165.0,528.0
6183.0,527.0
6201.0,528.0
6220.0,528.0
6239.0,528.0
6258.0,528.0
6276.0,528.0
6295.0,528.0
6314.0,528.0
6332.0,527.0
6351.0,528.0
6370.0,528.0
6389.0,528.0
6407.0,528.0
6426.0,528.0
6445.0,528.0
6464.0,528.0
6482.0,526.0
6501.0,528.0
6520.0,528.0
6538.0,528.0
6557.0,527.0
6576.0,528.0
6595.0,529.0
6613.0,528.0
6633.0,527.0
6651.0,528.0
6669.0,528.0
6688.0,528.0
6707.0,528.0
6726.0,528.0
6744.0,529.0
6764.0,528.0
6782.0,527.0
6800.0,527.0
6819.0,528.0
6838.0,528.0
6857.0,527.0
6875.0,528.0
