Time (s),Intensity
1.0,480.0
1.0,480.0
2.0,480.0
3.0,481.0
4.0,480.0
17.0,480.0
34.0,444.0
51.0,458.0
67.0,454.0
84.0,461.0
100.0,460.0
119.0,473.0
136.0,464.0
153.0,479.0
171.0,471.0
189.0,469.0
207.0,477.0
224.0,474.0
241.0,483.0
260.0,470.0
277.0,481.0
295.0,471.0
312.0,477.0
331.0,485.0
348.0,483.0
365.0,483.0
384.0,483.0
401.0,483.0
419.0,484.0
436.0,485.0
454.0,485.0
472.0,486.0
489.0,485.0
507.0,485.0
525.0,484.0
543.0,484.0
560.0,483.0
577.0,482.0
596.0,479.0
613.0,479.0
631.0,481.0
649.0,483.0
666.0,484.0
684.0,486.0
701.0,487.0
720.0,487.0
737.0,487.0
755.0,485.0
772.0,484.0
790.0,483.0
808.0,482.0
825.0,481.0
843.0,482.0
861.0,483.0
878.0,483.0
896.0,483.0
913.0,484.0
932.0,484.0
949.0,484.0
966.0,484.0
985.0,484.0
1002.0,484.0
1021.0,483.0
1039.0,482.0
1059.0,483.0
1077.0,485.0
1095.0,485.0
1115.0,486.0
1133.0,485.0
1152.0,486.0
1170.0,486.0
1190.0,486.0
1208.0,484.0
1227.0,483.0
1245.0,484.0
1264.0,482.0
1283.0,482.0
1301.0,485.0
1321.0,485.0
1339.0,485.0
1358.0,487.0
1376.0,488.0
1396.0,486.0
1414.0,487.0
1432.0,485.0
1452.0,485.0
1470.0,483.0
1489.0,482.0
1507.0,483.0
1527.0,483.0
1545.0,484.0
1563.0,485.0
1583.0,484.0
1601.0,487.0
1620.0,486.0
1638.0,485.0
1658.0,487.0
1676.0,485.0
1695.0,485.0
1714.0,484.0
1732.0,483.0
1751.0,485.0
1769.0,483.0
1789.0,484.0
1807.0,482.0
1826.0,483.0
1844.0,483.0
1863.0,481.0
1882.0,483.0
1900.0,483.0
1920.0,482.0
1938.0,483.0
1957.0,482.0
1975.0,483.0
1995.0,482.0
2013.0,482.0
2031.0,483.0
2051.0,482.0
2069.0,482.0
2088.0,482.0
2106.0,481.0
2126.0,482.0
2144.0,482.0
2163.0,482.0
2182.0,482.0
2200.0,482.0
2219.0,483.0
2237.0,481.0
2257.0,481.0
2275.0,482.0
2294.0,481.0
2313.0,481.0
2331.0,481.0
2350.0,482.0
2368.0,482.0
2388.0,480.0
2406.0,481.0
2425.0,480.0
2443.0,481.0
2463.0,481.0
2481.0,480.0
2499.0,482.0
2519.0,481.0
2537.0,481.0
2556.0,480.0
2574.0,480.0
2594.0,481.0
2612.0,480.0
2630.0,481.0
2650.0,481.0
2668.0,481.0
2687.0,481.0
2705.0,480.0
2725.0,481.0
2743.0,481.0
2762.0,481.0
