Time (s),Intensity
2,455
3,454
4,455
5,455
6,454
7,453
8,453
9,434
10,406
11,409
12,408
13,419
14,444
15,418
16,424
17,415
18,421
19,426
20,419
21,446
22,422
23,421
24,420
25,423
26,442
27,431
28,446
29,423
30,431
31,425
32,427
33,448
34,426
35,441
36,428
37,433
38,430
39,433
40,450
41,430
42,434
43,436
45,437
46,444
47,435
48,449
49,436
50,435
51,429
52,435
53,450
54,435
55,440
56,436
57,439
58,448
59,439
60,447
61,438
62,441
63,440
64,441
65,451
66,439
67,440
68,437
69,439
70,450
71,438
72,443
73,436
74,437
75,440
76,441
77,451
78,439
79,445
80,436
81,439
82,448
83,442
84,449
85,439
86,441
88,436
89,441
90,452
91,439
92,441
93,436
94,441
95,449
96,441
97,448
98,438
99,443
100,440
101,441
102,450
103,442
104,446
105,438
106,441
107,446
108,443
109,450
110,438
111,441
112,442
113,441
114,450
115,439
116,446
117,439
118,441
119,445
120,443
121,451
122,438
123,444
124,440
125,441
126,451
127,442
128,445
130,438
131,445
132,447
133,439
134,450
135,441
136,442
137,440
138,443
139,450
140,439
141,446
142,441
143,441
144,444
145,443
146,451
147,442
148,443
149,438
150,441
151,450
152,439
153,447
154,442
155,443
156,440
157,443
158,450
159,438
160,445
161,440
162,441
163,452
164,442
165,446
166,441
167,443
168,438
169,443
170,451
171,440
173,445
174,440
175,441
176,447
177,443
178,452
179,446
180,451
181,454
182,451
183,453
184,455
185,464
186,455
187,465
188,453
189,449
190,453
191,450
192,454
193,454
194,455
195,454
196,456
197,462
198,454
199,453
200,454
201,455
202,454
203,455
204,454
205,451
206,450
207,455
208,455
209,454
210,454
211,455
212,455
213,454
214,454
216,454
217,454
218,454
219,454
220,452
221,455
222,454
223,454
224,454
225,452
226,439
227,454
228,454
229,454
230,454
231,454
232,454
233,454
234,454
235,454
236,454
237,455
238,454
239,454
240,454
241,454
242,454
243,455
244,455
245,453
246,455
247,454
248,450
249,453
250,453
251,453
252,454
253,454
254,454
255,454
256,453
258,453
259,453
260,454
261,454
262,455
263,454
264,454
265,454
266,452
267,444
268,453
269,454
270,454
271,454
272,454
273,454
274,454
275,454
276,454
277,454
278,455
279,455
280,455
281,454
282,454
283,454
284,454
285,454
286,455
287,454
288,455
289,454
290,454
291,454
292,454
293,454
294,454
295,454
296,454
297,454
298,454
299,454
301,453
302,454
303,454
304,455
305,455
306,454
307,454
308,454
309,453
310,454
311,454
312,455
313,454
314,455
315,454
316,454
317,453
318,454
319,454
320,455
321,455
322,454
323,455
324,454
325,454
326,454
327,454
328,454
329,455
330,454
331,454
332,454
333,453
334,454
335,454
336,454
337,454
338,454
339,454
340,454
341,453
342,454
344,454
345,455
346,454
347,454
348,454
349,454
350,453
351,453
352,454
353,454
354,455
355,455
356,454
357,454
358,453
359,454
360,454
361,455
362,455
363,455
364,455
365,455
366,454
367,454
368,453
369,454
370,455
371,454
372,454
373,454
374,454
375,453
376,454
377,454
378,454
379,454
380,454
381,454
382,453
383,454
384,454
386,454
387,455
388,454
389,454
390,454
391,454
392,453
393,454
394,454
395,455
396,455
397,455
398,454
399,454
400,454
401,454
402,454
403,455
404,455
405,455
406,454
407,453
408,454
409,454
410,454
411,454
412,455
413,454
414,454
415,454
416,454
417,454
418,454
419,454
420,454
421,454
422,454
423,454
424,454
425,454
426,454
427,454
429,455
430,455
431,454
432,454
433,454
434,454
435,454
436,454
437,455
438,455
439,454
440,454
441,454
442,454
443,454
444,455
445,455
446,455
447,454
448,454
449,454
450,453
451,454
452,454
453,454
454,454
455,454
456,454
457,454
458,454
459,454
460,454
461,455
462,455
463,455
464,455
465,454
466,454
467,453
468,453
469,454
470,454
472,455
473,454
474,454
475,453
476,454
477,454
478,454
479,455
480,454
481,454
482,453
483,454
484,454
485,454
486,454
487,455
488,454
489,454
490,454
491,454
492,454
493,454
494,454
495,455
496,455
497,454
498,454
499,454
500,454
501,454
502,454
503,455
504,455
505,455
506,454
507,454
508,454
509,454
510,454
511,454
512,455
514,454
515,454
516,454
517,454
518,454
519,453
520,454
521,455
522,455
523,454
524,454
525,454
526,454
527,454
528,455
529,454
530,455
531,454
532,454
533,454
534,454
535,454
536,454
537,455
538,455
539,454
540,454
541,454
542,454
543,455
544,455
545,455
546,455
547,454
548,454
549,454
550,454
551,454
552,454
553,455
554,455
555,455
557,454
558,454
559,454
560,454
561,454
562,455
563,455
564,455
565,455
566,454
567,454
568,454
569,455
570,455
571,455
572,455
573,454
574,453
575,454
576,454
577,455
578,455
579,455
580,455
581,454
582,454
583,454
584,455
585,454
586,455
587,455
588,455
589,454
590,454
591,454
592,454
593,454
594,455
595,455
596,455
597,455
598,454
600,454
601,454
602,454
603,454
604,455
605,455
606,455
607,454
608,454
609,454
610,454
611,454
612,455
613,455
614,455
615,454
616,454
617,454
618,454
619,454
620,455
621,454
622,454
623,455
624,454
625,454
626,454
627,454
628,455
629,455
630,455
631,454
632,454
633,454
634,454
635,454
636,455
637,454
638,454
639,454
640,454
642,454
643,454
644,455
645,455
646,455
647,455
648,454
649,454
650,453
651,454
652,454
653,454
654,455
655,455
656,454
657,454
658,454
659,454
660,454
661,455
662,455
663,455
664,455
665,455
666,454
667,454
668,454
669,454
670,454
671,455
672,454
673,454
674,453
675,454
676,454
677,454
678,454
679,454
680,454
681,454
682,454
683,454
685,454
686,454
687,455
688,454
689,454
690,454
691,454
692,454
693,454
694,454
695,455
696,455
697,455
698,454
699,454
700,454
701,454
702,454
703,455
704,455
705,455
706,455
707,454
708,454
709,454
710,454
711,454
712,455
713,454
714,454
715,454
716,454
717,454
718,454
719,454
720,454
721,455
722,454
723,454
724,454
725,454
726,454
728,454
729,455
730,454
731,454
732,454
733,453
734,453
735,454
736,454
737,455
738,454
739,454
740,454
741,454
742,453
743,454
744,455
745,455
746,454
747,454
748,454
749,453
750,453
751,454
752,454
753,454
754,454
755,454
756,454
757,453
758,453
759,454
760,454
761,454
762,454
763,455
764,455
765,454
766,453
767,453
768,454
770,454
771,455
772,454
773,454
774,453
775,454
776,454
777,454
778,454
779,454
780,455
781,454
782,454
783,454
784,454
785,454
786,454
787,454
788,454
789,454
790,454
791,453
792,454
793,454
794,454
795,454
796,454
797,454
798,453
799,453
800,453
801,454
802,454
803,455
804,455
805,455
806,454
807,454
808,453
809,453
810,454
811,455
813,454
814,454
815,454
816,454
817,453
818,453
819,454
820,454
821,455
822,454
823,454
824,454
825,454
826,454
827,454
828,454
829,454
830,454
831,454
832,454
833,453
834,453
835,454
836,454
837,454
838,454
839,454
840,454
841,453
842,453
843,454
844,455
845,455
846,455
847,454
848,454
849,454
850,453
851,453
852,454
853,454
854,454
856,454
857,454
858,453
859,453
860,454
861,454
862,454
863,455
864,455
865,454
866,454
867,453
868,454
869,454
870,454
871,454
872,455
873,454
874,454
875,453
876,453
877,454
878,454
879,454
880,454
881,454
882,453
883,454
884,454
885,454
886,454
887,454
888,454
889,454
890,454
891,454
892,454
893,454
894,454
895,455
896,454
898,454
899,454
900,454
901,454
902,454
903,454
904,455
905,455
906,454
907,454
908,453
909,453
910,454
911,454
912,454
913,455
914,455
915,454
916,454
917,453
918,454
919,454
920,455
921,454
922,454
923,454
924,454
925,454
926,454
927,454
928,455
929,454
930,454
931,454
932,453
933,453
934,454
935,454
936,454
937,454
938,455
939,454
941,454
942,453
943,454
944,455
945,455
946,455
947,454
948,454
949,454
950,454
951,453
952,454
953,454
954,455
955,454
956,454
957,453
958,454
959,453
960,454
961,454
962,454
963,455
964,455
965,454
966,454
967,454
968,454
969,454
970,455
971,454
972,454
973,454
974,454
975,454
976,454
977,454
978,455
979,455
980,454
981,454
982,454
984,454
985,454
986,454
987,454
988,454
989,454
990,454
991,453
992,453
993,454
994,454
995,455
996,455
997,454
998,454
999,454
1000,453
1001,454
1002,454
1003,455
1004,455
1005,455
1006,454
1007,454
1008,454
1009,454
1010,454
1011,454
1012,455
1013,455
1014,454
1015,454
1016,454
1017,453
1018,454
1019,454
1020,455
1021,454
1022,454
1023,454
1024,454
1026,454
1027,454
1028,454
1029,455
1030,455
1031,454
1032,454
1033,453
1034,454
1035,454
1036,454
1037,454
1038,454
1039,454
1040,454
1041,454
1042,454
1043,454
1044,455
1045,455
1046,455
1047,455
1048,454
1049,454
1050,453
1051,454
1052,454
1053,455
1054,455
1055,455
1056,454
1057,454
1058,454
1059,454
1060,454
1061,454
1062,455
1063,455
1064,455
1065,454
1066,454
1067,454
1069,454
1070,455
1071,454
1072,454
1073,454
1074,454
1075,454
1076,454
1077,454
1078,454
1079,455
1080,455
1081,454
1082,454
1083,454
1084,454
1085,454
1086,454
1087,455
1088,455
1089,454
1090,454
1091,454
1092,454
1093,454
1094,454
1095,455
1096,455
1097,455
1098,454
1099,454
1100,454
1101,454
1102,454
1103,455
1104,455
1105,455
1106,454
1107,454
1108,454
1109,454
1110,454
1112,455
1113,455
1114,455
1115,454
1116,454
1117,454
1118,454
1119,454
1120,455
1121,455
1122,455
1123,454
1124,454
1125,454
1126,454
1127,454
1128,454
1129,455
1130,455
1131,455
1132,454
1133,454
1134,454
1135,454
1136,454
1137,455
1138,455
1139,454
1140,454
1141,454
1142,454
1143,455
1144,455
1145,455
1146,455
1147,455
1148,454
1149,454
1150,454
1151,454
1152,454
1154,455
1155,455
1156,455
1157,454
1158,454
1159,454
1160,454
1161,454
1162,455
1163,455
1164,455
1165,455
1166,454
1167,454
1168,454
1169,454
1170,455
1171,455
1172,455
1173,454
1174,454
1175,454
1176,454
1177,454
1178,455
1179,455
1180,455
1181,454
1182,454
1183,454
1184,455
1185,455
1186,455
1187,455
1188,455
1189,454
1190,454
1191,454
1192,454
1193,454
1194,455
1195,455
1197,455
1198,455
1199,454
1200,453
1201,454
1202,454
1203,455
1204,455
1205,456
1206,455
1207,454
1208,454
1209,454
1210,454
1211,455
1212,455
1213,455
1214,454
1215,454
1216,454
1217,454
1218,454
1219,454
1220,455
1221,455
1222,455
1223,455
1224,454
1225,454
1226,454
1227,455
1228,455
1229,455
1230,455
1231,454
1232,454
1233,454
1234,454
1235,454
1236,455
1237,455
1238,455
1240,455
1241,454
1242,454
1243,454
1244,455
1245,455
1246,455
1247,455
1248,454
1249,454
1250,453
1251,454
