Time (s),Intensity
1.0,513.0
2.0,512.0
3.0,511.0
4.0,511.0
5.0,511.0
6.0,512.0
7.0,512.0
8.0,512.0
9.0,512.0
10.0,511.0
11.0,511.0
12.0,512.0
13.0,513.0
14.0,512.0
15.0,512.0
16.0,459.0
17.0,496.0
18.0,462.0
19.0,472.0
20.0,463.0
21.0,465.0
22.0,477.0
23.0,471.0
24.0,499.0
25.0,474.0
26.0,484.0
27.0,470.0
28.0,477.0
29.0,468.0
30.0,479.0
31.0,496.0
32.0,478.0
33.0,500.0
34.0,482.0
35.0,485.0
36.0,478.0
37.0,481.0
38.0,494.0
39.0,483.0
41.0,503.0
42.0,486.0
43.0,490.0
44.0,484.0
45.0,489.0
46.0,483.0
47.0,491.0
48.0,501.0
49.0,488.0
50.0,501.0
51.0,486.0
52.0,489.0
53.0,488.0
54.0,493.0
55.0,498.0
56.0,488.0
57.0,505.0
58.0,491.0
59.0,497.0
60.0,492.0
61.0,492.0
62.0,497.0
63.0,489.0
64.0,504.0
65.0,488.0
66.0,493.0
67.0,489.0
68.0,493.0
69.0,504.0
70.0,492.0
71.0,502.0
72.0,491.0
73.0,495.0
74.0,489.0
75.0,493.0
76.0,504.0
77.0,492.0
78.0,501.0
79.0,495.0
80.0,497.0
81.0,494.0
82.0,496.0
84.0,505.0
85.0,493.0
86.0,501.0
87.0,494.0
88.0,498.0
89.0,493.0
90.0,497.0
91.0,505.0
92.0,494.0
93.0,505.0
94.0,496.0
95.0,496.0
96.0,493.0
97.0,494.0
98.0,505.0
99.0,498.0
100.0,507.0
101.0,494.0
102.0,497.0
103.0,495.0
104.0,498.0
105.0,496.0
106.0,495.0
107.0,506.0
108.0,498.0
109.0,503.0
110.0,493.0
111.0,498.0
112.0,496.0
113.0,498.0
114.0,505.0
115.0,496.0
116.0,505.0
117.0,495.0
118.0,496.0
119.0,494.0
120.0,498.0
121.0,504.0
122.0,494.0
123.0,507.0
124.0,496.0
126.0,499.0
127.0,494.0
128.0,499.0
129.0,501.0
130.0,495.0
131.0,507.0
132.0,498.0
133.0,503.0
134.0,495.0
135.0,500.0
136.0,494.0
137.0,495.0
138.0,505.0
139.0,496.0
140.0,506.0
141.0,497.0
142.0,500.0
143.0,494.0
144.0,498.0
145.0,502.0
146.0,497.0
147.0,506.0
148.0,498.0
149.0,500.0
150.0,494.0
151.0,500.0
152.0,500.0
153.0,497.0
154.0,507.0
155.0,496.0
156.0,501.0
157.0,498.0
158.0,499.0
159.0,495.0
160.0,499.0
161.0,506.0
162.0,496.0
163.0,503.0
164.0,495.0
165.0,500.0
166.0,496.0
167.0,496.0
169.0,506.0
170.0,496.0
171.0,501.0
172.0,498.0
173.0,499.0
174.0,493.0
175.0,499.0
176.0,506.0
177.0,497.0
178.0,504.0
179.0,494.0
180.0,500.0
181.0,497.0
182.0,497.0
183.0,508.0
184.0,501.0
185.0,508.0
186.0,504.0
187.0,508.0
188.0,511.0
189.0,511.0
190.0,511.0
191.0,512.0
192.0,513.0
193.0,514.0
194.0,524.0
195.0,513.0
196.0,510.0
197.0,511.0
198.0,507.0
199.0,512.0
200.0,512.0
201.0,515.0
202.0,512.0
203.0,517.0
204.0,512.0
205.0,513.0
206.0,512.0
207.0,512.0
208.0,516.0
209.0,512.0
210.0,511.0
212.0,511.0
213.0,509.0
214.0,508.0
215.0,510.0
216.0,511.0
217.0,511.0
218.0,512.0
219.0,512.0
220.0,511.0
221.0,511.0
222.0,511.0
223.0,512.0
224.0,511.0
225.0,512.0
226.0,513.0
227.0,511.0
228.0,511.0
229.0,511.0
230.0,512.0
231.0,512.0
232.0,511.0
233.0,505.0
234.0,511.0
235.0,509.0
236.0,511.0
237.0,511.0
238.0,511.0
239.0,512.0
240.0,512.0
241.0,508.0
242.0,512.0
243.0,511.0
244.0,511.0
245.0,511.0
246.0,511.0
247.0,511.0
248.0,511.0
249.0,512.0
250.0,511.0
251.0,512.0
252.0,511.0
