Time (s),Intensity
1,520
2,520
3,519
4,520
5,520
6,520
8,520
9,520
10,519
11,519
12,518
13,519
14,520
15,521
16,521
17,519
18,520
19,519
20,484
21,467
22,502
23,466
24,476
25,472
26,475
27,497
28,479
29,502
30,474
31,485
32,484
33,487
34,506
35,487
36,501
37,486
38,487
39,482
40,487
41,509
42,486
43,495
44,492
45,491
46,496
47,493
48,511
49,492
51,500
52,488
53,497
54,505
55,494
56,512
57,496
58,496
59,495
60,500
61,509
62,496
63,511
64,498
65,501
66,500
67,501
68,510
69,498
70,509
71,495
72,500
73,497
74,503
75,511
76,501
77,511
78,499
79,503
80,500
81,501
82,511
83,500
84,511
85,498
86,503
87,500
88,504
89,513
90,504
91,512
93,501
94,503
95,499
96,503
97,513
98,505
99,508
100,502
101,503
102,506
103,502
104,514
105,503
106,506
107,501
108,503
109,512
110,505
111,512
112,502
113,504
114,503
115,507
116,514
117,502
118,507
119,503
120,506
121,507
122,503
123,513
124,506
125,505
126,501
127,503
128,512
129,503
130,513
131,502
132,508
133,503
134,505
136,513
137,506
138,510
139,502
140,506
141,506
142,506
143,514
144,504
145,509
146,502
147,504
148,512
149,505
150,514
151,503
152,508
153,502
154,503
155,514
156,506
157,510
158,502
159,508
160,505
161,503
162,514
163,504
164,509
165,503
166,508
167,510
168,503
169,514
170,504
171,505
172,504
173,507
174,514
175,505
176,513
177,501
179,505
180,505
181,505
182,513
183,506
184,509
185,502
186,507
187,506
188,503
189,514
190,506
191,512
192,507
193,514
194,518
195,513
196,526
197,521
198,521
199,521
200,521
201,520
202,519
203,522
204,519
205,521
206,520
207,520
208,520
209,521
210,530
211,520
212,520
213,520
214,521
215,518
216,518
217,516
218,519
219,519
221,520
222,520
223,523
224,520
225,520
226,520
227,519
228,519
229,519
230,520
231,520
232,514
233,520
234,520
235,518
236,517
237,518
238,518
239,520
240,518
241,519
242,519
243,519
244,519
245,519
246,520
247,520
248,520
249,520
250,520
251,519
252,519
253,519
254,520
255,521
256,518
257,508
258,519
259,517
260,519
261,519
262,519
264,520
265,520
266,520
267,519
268,519
269,519
270,519
271,518
272,519
273,520
274,520
275,521
276,519
277,518
278,519
279,516
280,519
281,520
282,520
283,520
284,520
285,519
286,519
287,519
288,520
289,520
290,520
291,520
292,520
293,519
294,520
295,520
296,520
297,520
298,520
299,520
300,519
301,519
302,519
303,519
304,520
305,520
307,520
308,520
309,520
310,519
311,519
312,519
313,520
314,520
315,521
316,521
317,520
318,519
319,519
