Time (s),Intensity
1,518
2,517
3,518
4,518
5,518
6,517
7,506
8,496
9,466
10,470
11,463
12,475
13,494
14,475
15,496
16,468
17,481
18,479
19,481
20,503
21,478
22,483
23,479
24,487
25,501
26,486
27,504
28,485
29,493
30,484
31,491
33,506
34,487
35,497
36,487
37,491
38,498
39,491
40,509
41,490
42,494
43,493
44,497
45,504
46,494
47,509
48,497
49,498
50,492
51,495
52,509
53,496
54,503
55,495
56,499
57,503
58,499
59,511
60,499
61,502
62,499
63,501
64,510
65,497
66,507
67,496
68,500
69,496
70,499
71,511
72,502
73,505
74,498
76,501
77,506
78,499
79,512
80,502
81,502
82,498
83,500
84,511
85,503
86,505
87,499
88,502
89,507
90,502
91,511
92,499
93,505
94,501
95,503
96,510
97,504
98,511
99,500
100,503
101,502
102,503
103,512
104,504
105,506
106,500
107,502
108,510
109,502
110,511
111,504
112,505
113,499
114,505
115,512
116,500
118,508
119,501
120,503
121,507
122,503
123,512
124,504
125,505
126,499
127,505
128,512
129,501
130,509
131,502
132,502
133,509
134,502
135,512
136,503
137,504
138,502
139,504
140,511
141,504
142,508
143,501
144,507
145,504
146,504
147,513
148,501
149,507
150,501
151,503
152,511
153,503
154,512
155,500
156,503
157,502
158,503
159,511
161,503
162,507
163,504
164,505
165,506
166,503
167,512
168,504
169,505
170,502
171,504
172,511
173,506
174,512
175,509
176,510
177,516
178,516
179,517
180,515
181,520
182,517
183,522
184,519
185,520
186,523
187,519
188,519
189,518
190,518
191,518
192,518
193,526
194,519
195,518
196,518
197,518
198,523
199,517
200,517
201,517
202,518
204,518
205,498
206,514
207,500
208,517
209,517
210,518
211,519
212,518
213,516
214,517
215,517
216,517
217,517
218,517
219,517
220,518
221,518
222,518
223,518
224,497
225,514
226,516
227,517
228,518
229,517
230,517
231,517
232,517
233,517
234,517
235,518
236,518
237,518
238,517
239,517
240,517
241,517
242,517
243,518
244,518
246,506
247,518
248,517
249,517
250,517
251,517
252,517
253,516
254,518
255,518
256,517
257,517
258,517
259,517
260,517
261,518
262,518
263,518
264,518
265,518
266,517
267,517
268,518
269,518
270,518
271,518
272,518
273,517
274,517
275,517
276,518
277,518
278,518
279,518
280,518
281,517
282,517
283,518
284,519
285,518
286,518
287,518
289,517
290,516
291,517
292,517
293,517
294,518
295,517
296,518
297,518
298,518
299,517
300,515
301,518
302,518
303,518
304,519
305,519
306,518
307,517
308,517
309,517
310,517
311,518
312,518
313,518
314,517
315,517
316,518
317,517
318,518
319,518
320,518
321,518
322,518
323,518
324,519
325,518
326,518
327,518
328,518
329,518
330,517
332,517
333,517
334,518
335,518
336,518
337,518
338,518
339,518
340,518
341,517
342,518
343,518
344,519
345,519
346,518
347,518
348,518
349,518
350,518
351,518
352,518
353,518
354,518
355,518
356,518
357,518
358,517
359,518
360,518
361,518
362,518
363,519
364,519
365,518
366,518
367,518
368,518
369,518
370,518
371,518
372,518
374,518
375,518
376,518
377,518
378,518
379,518
380,518
381,518
382,518
383,518
384,519
385,519
386,518
387,519
388,518
389,518
390,515
391,518
392,518
393,518
394,519
395,518
396,518
397,518
398,518
399,518
400,518
401,518
402,519
403,520
404,520
405,519
406,518
407,518
408,518
409,518
410,519
411,519
412,519
413,518
414,518
415,518
417,518
418,518
419,518
420,519
421,519
422,519
423,519
424,519
425,519
426,518
427,519
428,519
429,518
430,519
431,518
432,518
433,518
434,518
435,518
436,518
437,519
438,519
439,518
440,518
441,518
442,518
443,519
444,520
445,519
446,519
447,518
448,518
449,518
450,518
451,519
452,519
453,519
454,518
455,518
456,518
457,518
458,518
460,519
461,519
462,519
463,519
464,519
465,519
466,517
467,518
468,519
469,519
470,519
471,519
472,518
473,518
474,518
475,518
476,518
477,519
478,519
479,519
480,518
481,518
482,518
483,519
484,519
485,519
486,519
487,519
488,519
489,517
490,514
491,518
492,518
