Time (s),Intensity
1.0,531.0
2.0,530.0
3.0,530.0
4.0,530.0
5.0,529.0
6.0,529.0
7.0,529.0
8.0,529.0
9.0,530.0
10.0,530.0
12.0,530.0
13.0,531.0
14.0,530.0
15.0,529.0
16.0,529.0
17.0,472.0
18.0,481.0
19.0,511.0
20.0,482.0
21.0,496.0
22.0,484.0
23.0,491.0
24.0,497.0
25.0,486.0
26.0,518.0
27.0,494.0
28.0,496.0
29.0,488.0
30.0,493.0
31.0,513.0
32.0,496.0
33.0,518.0
34.0,500.0
35.0,499.0
36.0,492.0
37.0,501.0
38.0,519.0
39.0,498.0
40.0,514.0
41.0,500.0
42.0,506.0
43.0,502.0
44.0,507.0
45.0,521.0
46.0,506.0
47.0,509.0
48.0,503.0
49.0,509.0
50.0,511.0
51.0,506.0
52.0,524.0
54.0,510.0
55.0,510.0
56.0,502.0
57.0,509.0
58.0,517.0
59.0,510.0
60.0,524.0
61.0,511.0
62.0,513.0
63.0,507.0
64.0,509.0
65.0,520.0
66.0,507.0
67.0,519.0
68.0,507.0
69.0,511.0
70.0,508.0
71.0,511.0
72.0,523.0
73.0,512.0
74.0,519.0
75.0,512.0
76.0,516.0
77.0,511.0
78.0,514.0
79.0,525.0
80.0,510.0
81.0,518.0
82.0,512.0
83.0,516.0
84.0,515.0
85.0,515.0
86.0,525.0
87.0,513.0
88.0,517.0
89.0,513.0
90.0,515.0
91.0,523.0
92.0,514.0
93.0,523.0
94.0,512.0
95.0,517.0
97.0,513.0
98.0,516.0
99.0,525.0
100.0,512.0
101.0,516.0
102.0,515.0
103.0,516.0
104.0,524.0
105.0,514.0
106.0,523.0
107.0,514.0
108.0,514.0
109.0,515.0
110.0,516.0
111.0,526.0
112.0,515.0
113.0,520.0
114.0,514.0
115.0,514.0
116.0,521.0
117.0,519.0
118.0,525.0
119.0,516.0
120.0,517.0
121.0,511.0
122.0,517.0
123.0,524.0
124.0,513.0
125.0,522.0
126.0,515.0
127.0,516.0
128.0,517.0
129.0,517.0
130.0,525.0
131.0,516.0
132.0,519.0
133.0,513.0
134.0,518.0
135.0,523.0
136.0,514.0
137.0,526.0
138.0,515.0
140.0,516.0
141.0,515.0
142.0,517.0
143.0,524.0
144.0,517.0
145.0,524.0
146.0,516.0
147.0,517.0
148.0,511.0
149.0,518.0
150.0,524.0
151.0,515.0
152.0,523.0
153.0,515.0
154.0,519.0
155.0,516.0
156.0,515.0
157.0,526.0
158.0,514.0
159.0,520.0
160.0,515.0
161.0,517.0
162.0,521.0
163.0,517.0
164.0,524.0
165.0,516.0
166.0,518.0
167.0,516.0
168.0,518.0
169.0,524.0
170.0,517.0
171.0,526.0
172.0,517.0
173.0,518.0
174.0,513.0
175.0,518.0
176.0,525.0
177.0,518.0
178.0,523.0
179.0,514.0
180.0,521.0
182.0,520.0
183.0,523.0
184.0,528.0
185.0,523.0
186.0,532.0
187.0,530.0
188.0,530.0
189.0,531.0
190.0,530.0
191.0,534.0
192.0,533.0
193.0,546.0
194.0,532.0
195.0,538.0
196.0,530.0
197.0,530.0
198.0,530.0
199.0,530.0
200.0,537.0
201.0,532.0
202.0,533.0
203.0,531.0
204.0,532.0
205.0,538.0
206.0,531.0
207.0,530.0
208.0,530.0
209.0,531.0
210.0,531.0
211.0,532.0
212.0,531.0
213.0,521.0
214.0,527.0
215.0,530.0
216.0,530.0
217.0,531.0
218.0,531.0
219.0,531.0
220.0,531.0
221.0,530.0
222.0,530.0
223.0,530.0
225.0,530.0
226.0,530.0
227.0,531.0
228.0,531.0
229.0,531.0
230.0,530.0
231.0,530.0
232.0,531.0
233.0,530.0
234.0,517.0
235.0,531.0
236.0,530.0
237.0,530.0
238.0,531.0
239.0,530.0
240.0,530.0
241.0,530.0
242.0,530.0
243.0,529.0
244.0,531.0
245.0,530.0
246.0,531.0
247.0,530.0
248.0,530.0
249.0,530.0
250.0,530.0
251.0,531.0
252.0,531.0
253.0,528.0
254.0,531.0
255.0,530.0
256.0,530.0
257.0,529.0
258.0,530.0
259.0,529.0
260.0,531.0
261.0,531.0
262.0,531.0
263.0,530.0
264.0,529.0
265.0,530.0
266.0,530.0
268.0,531.0
269.0,531.0
270.0,531.0
271.0,531.0
272.0,531.0
273.0,531.0
274.0,530.0
275.0,531.0
276.0,531.0
277.0,530.0
278.0,522.0
279.0,530.0
280.0,531.0
281.0,530.0
282.0,530.0
283.0,530.0
284.0,531.0
285.0,529.0
286.0,531.0
287.0,531.0
288.0,530.0
289.0,530.0
290.0,530.0
291.0,531.0
292.0,531.0
293.0,532.0
294.0,531.0
295.0,531.0
296.0,530.0
297.0,530.0
298.0,530.0
299.0,528.0
300.0,530.0
301.0,531.0
302.0,531.0
303.0,531.0
304.0,530.0
305.0,530.0
306.0,530.0
307.0,530.0
308.0,530.0
310.0,531.0
311.0,531.0
312.0,532.0
313.0,531.0
314.0,531.0
315.0,530.0
316.0,530.0
317.0,531.0
318.0,530.0
319.0,531.0
320.0,530.0
321.0,531.0
322.0,530.0
323.0,530.0
324.0,530.0
325.0,530.0
326.0,530.0
327.0,531.0
328.0,531.0
329.0,531.0
330.0,531.0
331.0,531.0
332.0,531.0
333.0,531.0
334.0,531.0
335.0,531.0
336.0,531.0
337.0,530.0
338.0,530.0
339.0,530.0
340.0,530.0
341.0,530.0
342.0,531.0
343.0,531.0
344.0,531.0
345.0,531.0
346.0,531.0
347.0,530.0
348.0,530.0
349.0,530.0
350.0,531.0
351.0,532.0
353.0,532.0
354.0,531.0
355.0,531.0
356.0,530.0
