Time (s),Intensity
1.0,531.0
2.0,531.0
3.0,531.0
4.0,531.0
5.0,531.0
6.0,530.0
7.0,531.0
8.0,531.0
9.0,530.0
10.0,530.0
11.0,531.0
12.0,476.0
13.0,483.0
14.0,476.0
15.0,483.0
16.0,513.0
17.0,486.0
18.0,501.0
19.0,486.0
20.0,487.0
21.0,500.0
22.0,496.0
23.0,518.0
24.0,492.0
25.0,497.0
26.0,495.0
27.0,501.0
28.0,520.0
29.0,499.0
30.0,511.0
32.0,496.0
33.0,504.0
34.0,500.0
35.0,501.0
36.0,522.0
37.0,499.0
38.0,509.0
39.0,499.0
40.0,505.0
41.0,518.0
42.0,503.0
43.0,521.0
44.0,503.0
45.0,509.0
46.0,507.0
47.0,509.0
48.0,522.0
49.0,506.0
50.0,513.0
51.0,510.0
52.0,511.0
53.0,516.0
54.0,507.0
55.0,523.0
56.0,508.0
57.0,512.0
58.0,509.0
59.0,510.0
60.0,524.0
61.0,510.0
62.0,518.0
63.0,512.0
64.0,514.0
65.0,515.0
66.0,512.0
67.0,525.0
68.0,510.0
69.0,513.0
70.0,510.0
71.0,515.0
72.0,523.0
73.0,513.0
75.0,521.0
76.0,511.0
77.0,513.0
78.0,511.0
79.0,516.0
80.0,526.0
81.0,516.0
82.0,517.0
83.0,511.0
84.0,517.0
85.0,520.0
86.0,516.0
87.0,526.0
88.0,514.0
89.0,518.0
90.0,514.0
91.0,514.0
92.0,524.0
93.0,516.0
94.0,524.0
95.0,513.0
96.0,517.0
97.0,515.0
98.0,516.0
99.0,523.0
100.0,516.0
101.0,523.0
102.0,514.0
103.0,517.0
104.0,516.0
105.0,515.0
106.0,525.0
107.0,518.0
108.0,522.0
109.0,512.0
110.0,519.0
111.0,514.0
112.0,516.0
113.0,525.0
114.0,515.0
115.0,519.0
117.0,515.0
118.0,518.0
119.0,516.0
120.0,517.0
121.0,527.0
122.0,515.0
123.0,519.0
124.0,514.0
125.0,515.0
126.0,523.0
127.0,517.0
128.0,526.0
129.0,518.0
130.0,518.0
131.0,514.0
132.0,518.0
133.0,525.0
134.0,517.0
135.0,523.0
136.0,514.0
137.0,520.0
138.0,515.0
139.0,517.0
140.0,526.0
141.0,514.0
142.0,521.0
143.0,516.0
144.0,517.0
145.0,522.0
146.0,517.0
147.0,526.0
148.0,525.0
149.0,518.0
150.0,517.0
151.0,517.0
152.0,524.0
153.0,517.0
154.0,527.0
155.0,517.0
156.0,518.0
157.0,514.0
158.0,517.0
160.0,524.0
161.0,519.0
162.0,525.0
163.0,516.0
164.0,518.0
165.0,513.0
166.0,518.0
167.0,525.0
168.0,521.0
169.0,526.0
170.0,515.0
171.0,520.0
172.0,514.0
173.0,522.0
174.0,527.0
175.0,523.0
176.0,529.0
177.0,525.0
178.0,531.0
179.0,531.0
180.0,531.0
181.0,531.0
182.0,531.0
183.0,537.0
184.0,532.0
185.0,535.0
186.0,532.0
187.0,532.0
188.0,532.0
189.0,531.0
190.0,535.0
191.0,532.0
192.0,535.0
193.0,532.0
194.0,532.0
195.0,531.0
196.0,532.0
197.0,539.0
198.0,531.0
199.0,530.0
200.0,530.0
201.0,531.0
203.0,531.0
204.0,531.0
205.0,531.0
206.0,530.0
207.0,528.0
208.0,528.0
209.0,527.0
210.0,529.0
211.0,531.0
212.0,532.0
213.0,531.0
214.0,531.0
215.0,530.0
216.0,530.0
217.0,531.0
218.0,531.0
219.0,531.0
220.0,531.0
221.0,531.0
222.0,530.0
223.0,530.0
224.0,530.0
225.0,530.0
226.0,531.0
227.0,531.0
228.0,531.0
229.0,530.0
230.0,531.0
231.0,530.0
232.0,526.0
233.0,530.0
234.0,531.0
235.0,531.0
236.0,531.0
237.0,530.0
238.0,531.0
239.0,530.0
240.0,530.0
241.0,530.0
242.0,530.0
243.0,531.0
245.0,531.0
246.0,531.0
247.0,532.0
248.0,531.0
249.0,521.0
250.0,530.0
251.0,531.0
252.0,531.0
253.0,529.0
254.0,531.0
255.0,530.0
256.0,530.0
257.0,530.0
258.0,529.0
259.0,530.0
260.0,531.0
261.0,531.0
262.0,531.0
263.0,531.0
264.0,531.0
265.0,530.0
266.0,531.0
267.0,531.0
268.0,532.0
269.0,531.0
270.0,531.0
271.0,531.0
272.0,530.0
273.0,530.0
274.0,530.0
275.0,531.0
276.0,531.0
277.0,531.0
278.0,532.0
279.0,531.0
280.0,530.0
281.0,530.0
282.0,530.0
283.0,530.0
284.0,531.0
285.0,531.0
286.0,532.0
288.0,532.0
289.0,531.0
290.0,530.0
291.0,530.0
292.0,530.0
293.0,531.0
294.0,531.0
295.0,531.0
296.0,531.0
297.0,530.0
298.0,530.0
299.0,530.0
300.0,530.0
301.0,531.0
302.0,531.0
303.0,531.0
304.0,531.0
305.0,531.0
306.0,531.0
307.0,531.0
308.0,531.0
309.0,531.0
310.0,531.0
311.0,531.0
312.0,531.0
313.0,530.0
314.0,530.0
315.0,530.0
316.0,530.0
317.0,530.0
318.0,531.0
319.0,531.0
320.0,531.0
321.0,531.0
322.0,530.0
323.0,530.0
324.0,530.0
325.0,530.0
326.0,532.0
327.0,532.0
328.0,531.0
329.0,531.0
331.0,530.0
332.0,530.0
333.0,530.0
334.0,530.0
335.0,531.0
336.0,531.0
337.0,531.0
338.0,531.0
339.0,530.0
340.0,530.0
341.0,530.0
342.0,530.0
343.0,531.0
344.0,531.0
345.0,531.0
346.0,531.0
347.0,531.0
348.0,531.0
349.0,530.0
350.0,530.0
351.0,530.0
352.0,531.0
353.0,531.0
354.0,531.0
355.0,531.0
356.0,531.0
357.0,530.0
358.0,530.0
359.0,531.0
360.0,531.0
361.0,531.0
362.0,531.0
363.0,531.0
364.0,530.0
365.0,530.0
366.0,531.0
367.0,532.0
368.0,531.0
369.0,531.0
370.0,531.0
371.0,530.0
373.0,531.0
374.0,530.0
375.0,530.0
376.0,531.0
377.0,531.0
378.0,531.0
379.0,531.0
380.0,531.0
381.0,531.0
382.0,530.0
383.0,530.0
384.0,531.0
385.0,531.0
386.0,531.0
387.0,532.0
388.0,532.0
389.0,530.0
390.0,530.0
391.0,530.0
392.0,530.0
393.0,531.0
394.0,531.0
395.0,531.0
396.0,530.0
397.0,531.0
398.0,530.0
399.0,530.0
400.0,530.0
401.0,531.0
402.0,531.0
403.0,531.0
404.0,530.0
405.0,530.0
406.0,531.0
407.0,531.0
408.0,530.0
409.0,531.0
410.0,531.0
411.0,531.0
412.0,531.0
413.0,531.0
414.0,530.0
416.0,530.0
417.0,530.0
418.0,531.0
419.0,531.0
420.0,531.0
421.0,531.0
422.0,531.0
423.0,530.0
424.0,530.0
425.0,530.0
426.0,530.0
427.0,532.0
428.0,532.0
429.0,531.0
430.0,531.0
431.0,530.0
432.0,530.0
433.0,530.0
434.0,530.0
435.0,527.0
436.0,531.0
437.0,531.0
438.0,531.0
439.0,530.0
440.0,530.0
441.0,530.0
442.0,529.0
443.0,530.0
444.0,531.0
445.0,531.0
446.0,531.0
447.0,531.0
448.0,531.0
449.0,530.0
450.0,530.0
451.0,530.0
452.0,530.0
453.0,531.0
454.0,531.0
455.0,530.0
456.0,530.0
457.0,530.0
459.0,530.0
460.0,531.0
461.0,531.0
462.0,531.0
463.0,531.0
464.0,531.0
465.0,530.0
466.0,530.0
467.0,531.0
468.0,532.0
469.0,530.0
470.0,531.0
471.0,531.0
472.0,531.0
473.0,530.0
474.0,530.0
475.0,530.0
476.0,531.0
477.0,531.0
478.0,531.0
479.0,531.0
480.0,531.0
481.0,530.0
482.0,530.0
483.0,530.0
484.0,531.0
485.0,531.0
486.0,532.0
487.0,532.0
488.0,531.0
489.0,530.0
490.0,530.0
491.0,530.0
492.0,531.0
493.0,531.0
494.0,531.0
495.0,531.0
496.0,531.0
497.0,530.0
498.0,530.0
499.0,530.0
501.0,530.0
502.0,531.0
503.0,531.0
504.0,531.0
505.0,531.0
506.0,531.0
507.0,531.0
508.0,531.0
509.0,530.0
510.0,531.0
511.0,531.0
512.0,531.0
513.0,531.0
514.0,530.0
515.0,530.0
516.0,530.0
517.0,530.0
518.0,531.0
519.0,531.0
520.0,531.0
521.0,531.0
522.0,530.0
523.0,530.0
524.0,530.0
525.0,530.0
526.0,531.0
527.0,532.0
528.0,532.0
529.0,531.0
530.0,530.0
531.0,530.0
532.0,529.0
533.0,530.0
534.0,530.0
535.0,531.0
536.0,531.0
537.0,531.0
538.0,531.0
539.0,530.0
540.0,530.0
541.0,530.0
542.0,530.0
544.0,531.0
545.0,531.0
546.0,530.0
547.0,531.0
548.0,531.0
549.0,530.0
550.0,530.0
551.0,530.0
552.0,531.0
553.0,531.0
554.0,531.0
555.0,531.0
556.0,530.0
557.0,530.0
558.0,530.0
559.0,530.0
560.0,531.0
561.0,531.0
562.0,531.0
563.0,530.0
564.0,530.0
565.0,530.0
566.0,530.0
567.0,531.0
568.0,532.0
569.0,531.0
570.0,531.0
571.0,531.0
572.0,530.0
573.0,530.0
574.0,530.0
575.0,530.0
576.0,531.0
577.0,531.0
578.0,531.0
579.0,531.0
580.0,530.0
581.0,530.0
582.0,530.0
583.0,530.0
584.0,531.0
585.0,531.0
587.0,532.0
588.0,532.0
589.0,530.0
590.0,530.0
591.0,530.0
592.0,530.0
593.0,531.0
594.0,531.0
595.0,531.0
596.0,530.0
597.0,530.0
598.0,530.0
599.0,530.0
600.0,530.0
601.0,531.0
602.0,531.0
603.0,531.0
604.0,531.0
605.0,530.0
606.0,530.0
607.0,531.0
