Time (s),Intensity
1,447
2,446
3,445
4,446
5,446
6,446
7,446
8,446
9,446
10,389
11,396
12,401
13,432
14,403
15,424
16,404
17,405
18,409
19,407
20,435
21,410
22,418
23,414
24,417
25,428
26,418
27,437
28,414
30,418
31,420
32,419
33,440
34,422
35,433
36,423
37,417
38,424
39,419
40,440
41,423
42,424
43,424
44,425
45,436
46,423
47,438
48,424
49,423
50,424
51,427
52,442
53,430
54,432
55,428
56,427
57,438
58,426
59,438
60,423
61,427
62,424
63,427
64,441
65,430
66,432
67,430
68,433
69,440
70,431
71,440
73,428
74,431
75,426
76,431
77,442
78,431
79,434
80,428
81,429
82,434
83,435
84,442
85,430
86,431
87,429
88,433
89,441
90,430
91,434
92,432
93,433
94,440
95,431
96,442
97,430
98,433
99,430
100,435
101,442
102,430
103,434
104,431
105,433
106,441
107,435
108,439
109,429
110,435
111,434
112,431
113,441
114,433
116,433
117,430
118,435
119,442
120,431
121,436
122,430
123,433
124,440
125,433
126,441
127,434
128,433
129,429
130,435
131,442
132,434
133,439
134,431
135,434
136,431
137,439
138,443
139,434
140,436
141,434
142,436
143,431
144,435
145,442
146,432
147,438
148,430
149,437
150,435
151,431
152,443
153,432
154,434
155,433
156,433
158,440
159,435
160,442
161,434
162,433
163,431
164,435
165,442
166,435
167,440
168,434
169,435
170,431
171,435
172,442
173,438
174,443
175,442
176,444
177,445
178,444
179,446
180,446
181,451
182,447
183,450
184,447
185,447
186,452
187,446
188,445
189,446
190,446
191,447
192,447
193,450
194,446
195,447
196,445
197,446
198,446
199,446
201,446
202,446
203,445
204,445
205,445
206,446
207,446
208,438
209,447
210,446
211,445
212,445
213,445
214,446
215,446
216,446
217,446
218,446
219,446
220,445
221,446
222,446
223,446
224,446
225,447
226,447
227,446
228,446
229,446
230,446
231,446
232,446
233,446
234,446
235,446
236,446
237,445
238,446
239,446
240,446
241,446
242,446
244,446
245,445
246,446
247,445
248,444
249,446
250,444
251,446
252,446
253,445
254,445
255,444
256,446
257,446
258,446
259,446
260,446
261,446
262,445
263,446
264,446
265,447
266,447
267,446
268,446
269,445
270,445
271,446
272,446
273,446
274,446
275,446
276,446
277,445
278,445
279,445
280,446
281,446
282,446
283,446
284,446
286,445
287,446
288,446
289,446
290,445
291,445
292,446
293,446
294,446
295,445
296,444
297,446
298,446
299,446
300,446
301,446
302,445
303,445
304,446
305,446
306,446
307,447
308,446
309,446
310,443
311,444
312,445
313,446
314,445
315,446
316,446
317,446
318,445
319,446
320,446
321,446
322,446
323,445
324,446
325,447
326,446
327,446
329,446
330,446
331,446
332,446
333,446
334,446
335,446
336,446
337,445
338,445
339,446
340,446
341,446
342,446
343,446
344,446
345,446
346,446
347,446
348,446
349,446
350,446
351,446
352,445
353,445
354,445
355,446
356,446
357,446
358,446
359,446
360,446
361,445
362,446
363,446
364,446
365,447
366,447
367,446
368,446
369,445
370,446
372,446
373,446
374,446
375,446
376,446
377,446
378,445
379,446
380,446
381,446
382,446
383,446
384,446
385,446
386,446
387,446
388,446
389,446
390,446
391,446
392,446
393,446
394,445
395,445
396,446
397,446
398,446
399,446
400,446
401,446
402,445
403,445
404,445
405,446
406,447
407,446
408,446
409,446
410,446
411,446
412,446
414,445
415,446
416,446
417,446
418,446
419,446
420,445
421,445
422,446
423,446
424,446
425,446
426,446
427,446
428,445
429,446
430,446
431,446
432,446
433,446
434,446
435,446
436,445
437,445
438,446
439,446
440,446
441,446
442,446
443,446
444,445
445,446
446,446
447,446
448,446
449,446
450,446
451,446
452,446
453,446
454,445
455,446
457,446
458,446
459,446
460,446
461,446
462,445
463,446
464,446
465,446
466,447
467,447
468,446
469,445
470,445
471,445
472,446
473,446
474,446
475,446
476,446
477,446
478,446
479,446
480,446
481,446
482,446
483,446
484,446
485,446
486,446
487,446
488,446
489,446
490,446
491,446
492,446
493,445
494,445
495,445
496,446
497,446
498,447
500,446
501,446
502,446
503,446
504,446
505,446
506,447
507,447
508,446
509,446
510,446
511,445
512,446
513,445
514,446
515,446
516,446
517,446
518,446
519,445
520,446
521,446
522,446
523,446
524,446
525,447
526,446
527,446
528,446
529,445
530,446
531,446
532,446
533,446
534,446
535,446
536,446
537,446
538,446
539,446
540,447
542,447
543,446
544,446
545,446
546,446
547,447
548,446
549,446
550,446
551,446
552,446
553,446
554,446
555,446
556,446
557,446
558,446
559,446
560,446
561,445
562,445
563,446
564,446
565,446
566,447
567,446
568,446
569,445
570,446
571,446
572,446
573,446
574,446
575,446
576,446
577,446
578,446
579,446
580,446
581,446
582,446
583,446
585,446
586,446
587,446
588,446
589,446
590,446
591,446
592,446
593,446
594,445
595,445
596,445
597,446
598,446
599,446
600,446
601,446
602,445
603,445
604,445
605,446
606,447
607,447
608,446
609,446
610,446
611,445
612,445
613,446
614,446
615,446
616,446
617,446
618,446
619,445
620,445
621,446
622,446
623,446
624,446
625,447
626,446
628,446
629,446
630,446
631,446
632,446
633,446
634,446
635,446
636,446
637,445
638,445
639,446
640,446
641,446
642,446
643,446
644,445
645,446
646,446
647,446
648,446
649,446
650,446
651,446
652,446
653,445
654,446
655,446
656,446
657,446
658,446
659,446
660,445
661,446
662,446
663,446
664,446
665,447
666,447
667,446
668,446
670,445
671,445
672,445
673,446
674,446
675,446
676,446
677,444
678,445
679,445
680,446
681,446
682,446
683,446
684,444
685,446
686,446
687,446
688,446
689,446
690,443
691,445
692,446
693,445
694,445
695,446
696,446
697,445
698,446
699,446
700,446
701,445
702,445
703,445
704,445
705,446
706,447
707,446
708,446
709,446
710,446
711,446
713,445
714,446
715,446
716,446
717,446
718,446
719,445
720,445
721,446
722,446
723,446
724,446
725,446
726,446
727,446
728,446
729,446
730,446
731,446
732,446
733,446
734,446
735,446
736,445
737,446
738,446
739,446
740,446
741,446
742,446
743,446
744,445
745,446
746,446
747,446
748,446
749,446
750,446
751,446
752,446
753,445
754,446
756,446
757,446
758,446
759,446
760,446
761,446
762,446
763,446
764,446
765,446
766,447
767,447
768,446
769,446
770,445
771,446
772,446
773,446
774,446
775,446
776,446
777,445
778,445
779,446
780,446
781,446
782,446
783,446
784,446
785,446
786,446
787,446
788,446
789,446
790,446
791,446
792,446
793,446
794,445
795,445
796,446
798,446
799,446
800,446
801,446
802,445
803,445
804,445
805,445
806,446
807,447
808,446
809,446
810,446
811,445
812,446
813,446
814,446
815,446
816,446
817,446
818,446
819,445
820,445
821,446
822,446
823,446
824,446
825,446
826,446
827,446
828,445
829,446
830,446
831,446
832,446
833,446
834,446
835,445
836,445
837,445
838,446
839,446
841,446
842,446
843,446
844,446
845,446
846,446
847,446
848,446
849,446
850,446
851,446
852,446
853,445
854,445
855,446
856,446
857,446
858,446
859,446
860,446
861,446
862,446
863,446
864,446
865,447
866,447
867,446
868,446
869,445
870,445
871,445
872,446
873,446
874,446
875,446
876,446
877,445
878,445
879,446
880,446
881,446
882,446
884,446
885,446
886,446
887,446
888,446
889,446
890,446
891,446
892,446
893,445
894,445
895,445
896,445
897,446
898,446
899,446
900,446
901,446
902,445
903,445
904,446
905,447
906,447
907,447
908,447
909,446
910,446
911,445
912,446
913,446
914,446
915,446
916,446
917,446
918,445
919,445
920,445
921,445
922,446
923,446
924,446
926,446
927,446
928,446
929,446
930,446
931,446
932,446
933,446
934,446
935,446
936,445
937,445
938,446
939,446
940,446
941,446
942,446
943,446
944,445
945,446
946,446
947,447
948,446
949,446
950,446
951,446
952,445
953,446
954,446
955,446
956,446
957,446
958,446
959,446
960,446
961,445
962,445
963,446
964,446
965,447
966,446
967,446
969,445
970,445
971,445
972,446
973,446
974,446
975,446
976,446
977,445
978,445
979,445
980,446
981,446
982,446
983,446
984,446
985,446
986,446
987,446
988,446
989,446
990,446
991,446
992,446
993,446
994,446
995,445
996,446
997,446
998,446
999,446
1000,446
1001,446
1002,446
1003,446
1004,446
1005,446
1006,447
1007,446
1008,446
1009,446
1010,446
1012,446
1013,445
1014,446
1015,446
1016,446
1017,446
1018,446
1019,445
1020,445
1021,445
1022,446
1023,446
1024,446
1025,446
1026,446
1027,446
1028,445
1029,446
1030,446
1031,446
1032,446
1033,446
1034,446
1035,446
1036,445
1037,445
1038,446
1039,446
1040,446
1041,446
1042,446
1043,446
1044,446
1045,446
1046,446
1047,446
1048,446
1049,446
1050,446
1051,446
1052,446
1054,446
1055,446
1056,446
1057,446
1058,446
1059,446
1060,446
1061,446
1062,446
1063,446
1064,446
1065,446
1066,447
1067,447
1068,446
1069,445
1070,446
1071,446
1072,446
1073,446
1074,446
1075,446
1076,446
1077,445
1078,445
1079,446
1080,446
1081,446
1082,446
1083,446
1084,446
1085,446
1086,446
1087,446
1088,446
1089,446
1090,446
1091,446
1092,446
1093,445
1094,445
1095,446
1097,446
1098,446
1099,446
1100,446
1101,446
1102,445
1103,445
1104,446
1105,446
1106,446
1107,447
1108,446
1109,446
1110,446
1111,446
1112,446
1113,446
1114,446
1115,446
1116,446
1117,446
1118,446
1119,445
1120,445
1121,445
1122,446
1123,446
1124,446
1125,446
1126,446
1127,446
1128,445
1129,446
1130,446
1131,446
1132,446
1133,446
1134,446
1135,446
1136,446
1137,446
1138,446
1140,446
1141,446
1142,446
1143,446
1144,446
1145,445
1146,446
1147,446
1148,446
1149,446
1150,446
1151,446
1152,446
1153,446
1154,445
1155,446
1156,446
1157,446
1158,446
1159,446
1160,446
1161,445
1162,446
1163,446
1164,446
1165,447
1166,447
1167,446
1168,446
1169,446
1170,446
1171,446
1172,446
1173,446
1174,446
1175,446
1176,446
1177,446
1178,446
1179,446
1180,446
1182,446
1183,446
1184,446
1185,446
1186,446
1187,446
1188,446
1189,446
1190,446
1191,446
1192,446
1193,446
1194,445
1195,445
1196,445
1197,446
1198,446
1199,446
1200,446
1201,446
1202,445
1203,444
1204,446
1205,447
1206,446
1207,447
1208,446
1209,446
1210,445
1211,444
1212,444
1213,445
1214,446
1215,446
1216,446
1217,446
1218,446
1219,445
1220,446
1221,446
1222,446
1223,446
1225,446
1226,447
1227,446
1228,446
1229,445
1230,446
1231,446
1232,446
1233,446
1234,446
1235,446
1236,446
1237,446
1238,446
1239,446
1240,446
1241,446
1242,446
1243,446
1244,445
1245,446
1246,446
1247,446
1248,446
1249,446
1250,446
1251,446
1252,445
1253,446
1254,446
1255,446
1256,446
1257,447
1258,446
1259,446
1260,445
1261,445
1262,446
1263,446
1264,446
1265,447
1266,447
1268,446
1269,446
1270,445
1271,445
1272,445
1273,446
1274,446
1275,446
1276,446
1277,445
1278,445
1279,446
1280,446
1281,446
1282,446
1283,446
1284,446
1285,446
1286,446
1287,446
1288,446
1289,446
1290,446
1291,441
1292,446
1293,445
1294,445
1295,446
1296,445
1297,446
1298,446
1299,447
1300,446
1301,446
1302,445
1303,446
1304,446
1305,447
1306,447
1307,446
1308,446
1310,446
1311,445
1312,446
1313,446
1314,446
1315,446
1316,446
1317,446
1318,446
1319,446
1320,445
1321,446
1322,446
1323,446
1324,446
1325,446
1326,446
1327,446
1328,446
1329,446
1330,446
1331,446
1332,447
1333,446
1334,446
1335,446
1336,446
1337,446
1338,446
1339,446
1340,446
1341,447
1342,446
1343,446
1344,446
1345,446
1346,447
1347,447
1348,447
1349,446
1350,446
1351,446
1353,446
1354,446
1355,446
1356,446
1357,447
1358,447
1359,446
1360,446
1361,446
1362,446
1363,446
1364,446
1365,446
1366,447
1367,447
1368,446
1369,446
1370,446
1371,446
1372,446
1373,446
1374,446
1375,446
1376,446
1377,446
1378,446
1379,446
1380,446
1381,447
1382,447
1383,447
1384,446
1385,446
1386,446
1387,446
1388,446
1389,447
1390,447
1391,446
1392,446
1393,446
1394,446
1396,446
1397,446
1398,446
1399,447
1400,447
1401,446
1402,446
1403,446
1404,446
1405,446
1406,447
1407,447
1408,446
1409,447
1410,446
1411,446
1412,446
1413,446
1414,446
1415,446
1416,446
1417,446
1418,446
1419,445
1420,446
1421,446
1422,446
1423,446
1424,446
1425,447
1426,446
1427,446
1428,446
1429,446
1430,444
1431,446
1432,446
1433,446
1434,446
1435,446
1436,446
1438,446
1439,446
1440,447
1441,446
1442,446
1443,446
1444,446
1445,446
1446,447
1447,447
1448,447
1449,447
1450,446
1451,446
1452,446
1453,446
1454,446
1455,446
1456,446
1457,447
1458,447
1459,446
1460,446
1461,446
1462,446
1463,446
1464,446
1465,447
1466,447
1467,447
1468,446
1469,446
1470,446
1471,446
1472,446
1473,447
1474,446
1475,446
1476,446
1477,446
1478,446
1479,446
1481,446
1482,446
1483,447
1484,446
1485,446
1486,446
1487,446
1488,446
1489,446
1490,447
1491,447
1492,446
1493,446
1494,446
1495,446
1496,446
1497,446
1498,446
1499,446
1500,447
1501,446
1502,446
1503,446
1504,446
1505,447
1506,447
1507,447
1508,446
1509,446
1510,439
1511,445
1512,446
1513,446
1514,446
1515,446
1516,447
1517,446
1518,445
1519,445
1520,446
1521,446
1522,446
1524,446
1525,446
1526,447
1527,446
1528,446
1529,446
1530,446
1531,446
1532,447
1533,447
1534,446
1535,446
1536,446
1537,446
1538,446
1539,446
1540,446
1541,447
1542,446
1543,446
1544,446
1545,446
1546,447
1547,447
1548,447
1549,447
1550,446
1551,446
1552,446
1553,446
1554,446
1555,446
1556,447
1557,447
1558,446
1559,446
1560,446
1561,446
1562,446
1563,446
1564,446
1566,447
1567,446
1568,446
1569,446
1570,445
1571,445
1572,446
1573,446
1574,446
1575,445
1576,446
1577,446
1578,446
1579,446
1580,446
1581,446
1582,446
1583,446
1584,446
1585,446
1586,446
1587,446
1588,446
1589,446
1590,447
1591,446
1592,446
1593,446
1594,445
1595,446
1596,446
1597,446
1598,446
1599,446
1600,446
1601,446
1602,446
1603,446
1604,446
1605,447
1606,447
1607,447
1609,446
1610,446
1611,446
1612,446
1613,446
1614,446
1615,446
1616,446
1617,446
1618,446
1619,446
1620,446
1621,446
1622,446
1623,447
1624,447
1625,446
1626,447
1627,446
1628,446
1629,446
1630,446
1631,446
1632,446
1633,444
1634,446
1635,446
1636,446
1637,446
1638,446
1639,447
1640,447
1641,446
1642,446
1643,446
1644,446
1645,446
1646,447
1647,447
1648,447
1649,447
1650,446
