Time (s),Intensity
1,527
2,527
3,528
4,528
5,527
6,516
7,475
8,509
9,474
10,496
11,482
12,483
13,484
14,485
15,503
16,491
17,514
18,487
19,493
20,486
21,491
22,492
23,495
24,516
25,498
26,507
27,492
28,502
29,494
30,497
31,514
32,498
33,518
34,496
35,508
36,497
37,504
39,500
40,502
41,518
42,503
43,518
44,503
45,509
46,502
47,504
48,511
49,507
50,520
51,506
52,512
53,502
54,507
55,505
56,509
57,517
58,507
59,521
60,508
61,512
62,509
63,512
64,510
65,510
66,520
67,507
68,518
69,508
70,510
71,506
72,509
73,514
74,510
75,520
76,511
77,514
78,507
79,511
81,509
82,508
83,521
84,513
85,517
86,509
87,512
88,508
89,513
90,520
91,510
92,520
93,508
94,515
95,512
96,512
97,509
98,511
99,521
100,512
101,519
102,509
103,513
104,511
105,513
106,519
107,510
108,520
109,511
110,513
111,508
112,513
113,517
114,512
115,521
116,511
117,517
118,510
119,511
120,510
121,514
122,522
124,511
125,520
126,511
127,513
128,508
129,515
130,517
131,512
132,521
133,512
134,515
135,508
136,515
137,510
138,512
139,521
140,513
141,517
142,510
143,516
144,512
145,511
146,520
147,513
148,521
149,510
150,515
151,510
152,512
153,516
154,513
155,521
156,513
157,516
158,509
159,513
160,511
161,511
162,521
163,515
164,518
165,509
167,515
168,509
169,512
170,521
171,513
172,521
173,513
174,513
175,508
176,514
177,521
178,516
179,525
180,520
181,524
182,526
183,525
184,528
185,529
186,526
187,525
188,528
189,526
190,527
191,525
192,527
193,526
194,526
195,528
196,528
197,534
198,527
199,527
200,526
201,526
202,527
203,522
204,490
205,525
206,528
207,526
209,527
210,526
211,525
212,526
213,526
214,526
215,526
216,526
217,523
218,525
219,524
220,526
221,526
222,527
223,525
224,525
225,524
226,515
227,526
228,526
229,525
230,526
231,526
232,526
233,526
234,526
235,526
236,526
237,526
238,526
239,526
240,526
241,526
242,527
243,525
244,525
245,517
246,526
247,525
248,525
249,526
250,526
252,526
253,526
254,526
255,526
256,526
257,526
258,526
259,526
260,526
261,526
262,527
263,527
264,525
265,525
266,524
267,525
268,525
269,526
270,526
271,526
272,526
273,526
274,526
275,525
276,526
277,525
278,526
279,526
280,526
281,526
282,527
283,527
284,526
285,525
286,526
287,526
288,526
289,526
290,526
291,525
292,525
293,525
295,526
296,526
297,526
298,526
299,526
300,525
301,526
302,526
303,527
304,527
305,526
306,526
307,526
308,525
309,525
310,525
311,526
312,525
313,526
314,526
315,526
316,525
317,525
318,525
319,526
320,526
321,526
322,527
323,527
324,526
325,526
326,525
327,526
328,526
329,526
330,526
331,526
332,526
333,526
334,526
335,526
337,526
338,526
339,526
340,526
341,526
342,526
343,526
344,526
345,526
346,526
347,526
348,526
349,526
350,526
351,525
352,526
353,526
354,526
355,526
356,526
357,526
358,526
359,526
360,525
361,526
362,527
363,527
364,526
365,526
366,525
367,525
368,525
369,526
370,526
371,526
372,526
373,526
374,525
375,525
376,525
377,526
378,526
380,526
381,526
382,526
383,526
384,526
385,525
386,525
387,526
388,526
389,526
390,526
391,525
392,525
393,525
394,525
395,525
396,526
397,526
398,526
399,526
400,526
401,526
402,526
403,527
404,526
405,526
406,526
407,525
408,526
409,525
410,526
411,525
412,526
413,526
414,526
415,526
416,525
417,525
418,525
419,526
420,526
421,526
423,526
424,527
425,526
426,526
427,525
428,526
429,526
430,526
431,526
432,526
433,526
434,525
435,525
436,525
437,526
438,526
439,526
440,526
441,525
442,526
443,526
444,526
445,526
446,526
447,526
448,526
449,526
450,525
451,525
452,526
453,526
454,526
455,526
456,526
457,525
458,525
459,525
460,525
461,525
462,527
463,527
465,526
466,525
467,525
468,525
469,525
470,525
471,526
472,526
473,526
474,526
475,525
476,525
477,525
478,525
479,526
480,526
481,526
482,527
483,526
484,526
485,525
486,525
487,525
488,526
489,526
490,526
491,525
492,525
493,525
494,525
495,526
496,526
497,526
498,526
499,526
500,525
501,525
502,526
503,526
504,526
505,525
506,524
508,524
509,524
510,524
511,525
512,525
513,526
514,524
515,525
516,525
517,525
518,525
519,525
520,525
521,526
522,526
523,527
524,527
525,525
526,525
527,525
528,525
529,526
530,526
531,526
532,526
533,524
534,525
535,525
536,526
537,526
538,526
539,526
540,526
541,525
542,526
543,527
544,526
545,526
546,526
547,526
548,526
549,525
551,525
552,525
553,525
554,526
555,526
556,526
557,526
558,525
559,526
560,525
561,526
562,527
563,527
564,527
565,526
566,525
567,525
568,525
569,525
570,526
571,526
572,526
573,526
574,525
575,525
576,525
577,525
578,525
579,526
580,526
581,526
582,526
583,526
584,525
585,525
586,526
587,525
588,525
589,525
590,525
591,523
593,525
594,525
595,525
596,526
597,526
598,526
599,525
600,525
601,525
602,525
603,526
604,526
605,526
606,525
607,525
608,525
609,525
610,525
611,525
612,525
613,526
614,526
615,526
616,525
617,525
618,525
619,525
620,526
621,526
622,527
623,526
624,525
625,525
626,525
627,525
628,525
629,526
630,526
631,525
632,525
633,525
634,525
636,525
637,525
638,526
639,526
640,525
641,525
642,525
643,526
644,526
645,525
646,526
647,526
648,525
649,525
650,525
651,525
652,524
653,525
654,525
655,525
656,525
657,525
658,524
659,524
660,524
661,524
662,525
663,526
664,525
665,524
666,524
667,523
668,524
669,524
670,524
671,524
672,525
673,525
674,524
675,524
676,524
677,524
679,524
680,524
681,524
682,524
683,525
684,524
685,524
686,523
687,524
688,524
689,525
690,525
691,524
692,524
693,524
694,524
695,524
696,524
697,525
698,525
699,524
700,524
701,524
702,525
703,525
704,524
705,524
706,524
707,524
708,523
709,524
710,524
711,524
712,524
713,525
714,524
715,524
716,524
717,523
718,524
719,524
721,525
722,525
723,525
724,525
725,524
726,524
727,524
728,524
729,524
730,525
731,525
732,524
733,524
734,524
735,524
736,524
737,524
738,525
739,525
740,525
741,524
742,525
743,525
744,525
745,525
746,525
747,525
748,524
749,524
750,524
751,524
752,524
753,524
754,525
755,525
756,524
757,524
758,524
759,524
760,524
761,524
762,526
764,526
765,524
766,524
767,524
768,524
769,524
770,525
771,525
772,525
773,525
774,525
775,524
776,524
777,524
778,525
779,525
780,525
781,524
782,525
783,525
784,524
785,524
786,524
787,524
788,525
789,525
790,524
791,524
792,524
793,524
794,525
795,525
796,525
797,525
798,524
799,524
800,524
801,524
802,525
803,526
804,525
805,524
807,525
808,524
809,524
810,524
811,525
812,525
813,525
814,525
815,525
816,524
817,524
818,524
819,524
820,525
821,525
822,526
823,526
824,525
825,524
826,524
827,524
828,525
829,525
830,525
831,525
832,524
833,524
834,524
835,524
836,524
837,525
838,525
839,525
840,524
841,524
842,525
843,525
844,525
845,525
846,525
847,525
849,525
850,524
851,524
852,524
853,525
854,525
855,525
856,525
857,525
858,525
859,524
860,524
861,525
862,526
863,526
864,526
865,525
866,524
867,524
868,524
869,524
870,524
871,525
872,525
873,525
874,524
875,524
876,524
877,525
878,525
879,525
880,525
881,525
882,525
883,525
884,525
885,525
886,525
887,524
888,522
889,525
890,524
892,524
893,524
894,522
895,525
896,525
897,525
898,525
899,525
900,524
901,523
902,524
903,526
904,526
905,526
906,525
907,522
908,525
909,525
910,525
911,522
912,525
913,525
914,525
915,525
916,524
917,524
918,524
919,524
920,525
921,525
922,526
923,526
924,525
925,524
926,524
927,525
928,525
929,525
930,525
931,525
932,525
933,525
935,525
936,525
937,525
938,525
939,525
940,525
941,525
942,525
943,525
944,525
945,525
946,525
947,525
948,525
949,525
950,524
951,525
952,525
953,525
954,525
955,525
956,525
957,525
958,524
959,524
960,524
961,525
962,526
963,526
964,526
965,525
966,525
967,524
968,524
969,525
970,525
971,525
972,525
973,525
974,525
975,525
977,524
978,525
979,525
980,525
981,525
982,525
983,525
984,525
985,524
986,525
987,525
988,525
989,525
990,525
991,524
992,524
993,524
994,525
995,525
996,525
997,525
998,525
999,524
1000,524
1001,524
1002,526
1003,526
1004,526
1005,526
1006,525
1007,525
1008,523
1009,524
1010,523
1011,525
1012,525
1013,525
1014,525
1015,525
1016,525
1017,524
1018,525
1020,525
1021,525
1022,526
1023,526
1024,526
1025,525
1026,525
1027,524
1028,525
1029,525
1030,525
1031,525
1032,525
1033,525
1034,525
1035,525
1036,525
1037,525
1038,525
1039,525
1040,525
1041,524
1042,525
1043,525
1044,525
1045,525
1046,525
1047,525
1048,524
1049,525
1050,525
1051,525
1052,524
1053,525
1054,525
1055,525
1056,524
1057,525
1058,524
1059,524
1060,524
1061,525
1063,526
1064,526
1065,524
1066,525
1067,525
1068,524
1069,524
1070,525
1071,525
1072,525
1073,524
1074,525
1075,524
1076,524
1077,525
1078,525
1079,525
1080,525
1081,525
1082,525
1083,525
1084,525
1085,524
1086,525
1087,525
1088,525
1089,525
1090,525
1091,525
1092,525
1093,524
1094,525
1095,525
1096,525
1097,525
1098,525
1099,525
1100,525
1101,525
1102,526
1103,526
1105,525
1106,525
1107,524
1108,525
1109,525
1110,524
1111,525
1112,525
1113,525
1114,525
1115,525
1116,525
1117,525
1118,525
1119,525
1120,525
1121,526
1122,526
1123,526
1124,526
1125,525
1126,524
1127,520
1128,525
1129,525
1130,525
1131,525
1132,525
1133,525
1134,524
1135,525
1136,525
1137,525
1138,525
1139,525
1140,525
1141,524
1142,525
1143,525
1144,525
1145,525
1146,525
1148,524
1149,524
1150,525
1151,524
1152,524
1153,525
1154,525
1155,525
1156,525
1157,525
1158,524
1159,524
1160,525
1161,525
1162,525
1163,526
1164,526
1165,525
1166,525
1167,524
1168,524
1169,524
1170,525
1171,525
1172,525
1173,525
1174,525
1175,525
1176,525
1177,525
1178,525
1179,525
1180,525
1181,525
1182,525
1183,525
1184,525
1185,525
1186,525
1187,525
1188,518
1189,524
1191,524
1192,525
1193,525
1194,525
1195,525
1196,525
1197,525
1198,525
1199,525
1200,524
1201,525
1202,525
1203,526
1204,526
1205,525
1206,526
1207,525
1208,525
1209,525
1210,525
1211,525
1212,525
1213,525
1214,525
1215,525
1216,525
1217,525
1218,525
1219,525
1220,525
1221,525
1222,526
1223,526
1224,525
1225,525
1226,525
1227,525
1228,525
1229,525
1230,525
1231,525
1233,525
1234,525
1235,525
1236,525
1237,525
1238,525
1239,525
1240,525
1241,525
1242,524
1243,525
1244,526
1245,525
1246,525
1247,525
1248,525
1249,525
1250,524
1251,524
1252,524
1253,525
1254,525
1255,525
1256,525
1257,525
1258,525
1259,524
1260,525
1261,525
1262,526
1263,526
1264,526
1265,525
1266,524
1267,525
1268,525
1269,525
1270,525
1271,525
1272,525
1273,525
1274,525
1276,525
1277,524
1278,525
1279,525
1280,525
1281,525
1282,525
1283,525
1284,526
1285,525
1286,525
1287,525
1288,525
1289,525
1290,525
1291,525
1292,525
1293,524
1294,525
1295,525
1296,525
1297,525
1298,525
1299,525
1300,524
1301,524
1302,525
1303,526
1304,526
1305,525
1306,525
1307,525
1308,524
1309,524
1310,525
1311,525
1312,525
1313,525
1314,525
1315,525
1316,525
1317,525
1319,525
1320,525
1321,525
1322,525
1323,526
1324,526
1325,524
1326,525
1327,525
1328,525
1329,525
1330,525
1331,525
1332,525
1333,524
1334,524
1335,524
1336,525
1337,525
1338,525
1339,525
1340,525
1341,525
1342,525
1343,525
1344,526
1345,525
1346,525
1347,525
1348,525
1349,524
1350,525
1351,525
1352,525
1353,525
1354,525
1355,526
1356,525
1357,525
1358,525
1359,524
1361,525
1362,525
1363,526
1364,526
1365,525
1366,525
1367,525
1368,524
1369,525
1370,525
1371,525
1372,525
1373,525
1374,525
1375,524
1376,525
1377,525
1378,525
1379,525
1380,525
1381,525
1382,526
1383,526
1384,525
1385,525
1386,525
1387,526
1388,525
1389,525
1390,525
1391,525
1392,524
1393,524
1394,525
1395,525
1396,525
1397,525
1398,525
1399,524
1400,524
1401,524
1402,525
1404,526
1405,525
1406,525
1407,525
1408,524
1409,523
1410,524
1411,524
1412,525
1413,525
1414,523
1415,525
1416,524
1417,524
1418,524
1419,524
1420,525
1421,525
1422,526
1423,526
1424,526
1425,525
1426,524
1427,524
1428,525
1429,525
1430,525
1431,525
1432,525
1433,524
1434,525
1435,525
1436,525
1437,525
1438,525
