Time (s),Intensity
1.0,512.0
2.0,511.0
3.0,511.0
4.0,511.0
5.0,511.0
6.0,512.0
7.0,511.0
8.0,511.0
9.0,511.0
10.0,511.0
11.0,510.0
12.0,511.0
13.0,512.0
14.0,512.0
15.0,512.0
16.0,511.0
17.0,455.0
18.0,470.0
19.0,460.0
20.0,467.0
21.0,468.0
22.0,467.0
23.0,496.0
24.0,466.0
25.0,483.0
26.0,468.0
27.0,473.0
28.0,468.0
29.0,475.0
30.0,499.0
31.0,478.0
32.0,496.0
34.0,474.0
35.0,480.0
36.0,473.0
37.0,483.0
38.0,496.0
39.0,480.0
40.0,501.0
41.0,483.0
42.0,485.0
43.0,484.0
44.0,483.0
45.0,486.0
46.0,483.0
47.0,502.0
48.0,487.0
49.0,497.0
50.0,487.0
51.0,489.0
52.0,482.0
53.0,489.0
54.0,503.0
55.0,488.0
56.0,500.0
57.0,488.0
58.0,491.0
59.0,490.0
60.0,493.0
61.0,503.0
62.0,489.0
63.0,497.0
64.0,487.0
65.0,491.0
66.0,489.0
67.0,491.0
68.0,504.0
69.0,490.0
70.0,495.0
71.0,488.0
72.0,493.0
73.0,499.0
74.0,492.0
75.0,504.0
77.0,492.0
78.0,497.0
79.0,494.0
80.0,495.0
81.0,503.0
82.0,494.0
83.0,504.0
84.0,492.0
85.0,496.0
86.0,495.0
87.0,495.0
88.0,505.0
89.0,494.0
90.0,503.0
91.0,496.0
92.0,497.0
93.0,493.0
94.0,495.0
95.0,505.0
96.0,496.0
97.0,502.0
98.0,492.0
99.0,497.0
100.0,496.0
101.0,495.0
102.0,505.0
103.0,494.0
104.0,501.0
105.0,495.0
106.0,496.0
107.0,499.0
108.0,498.0
109.0,506.0
110.0,493.0
111.0,499.0
112.0,494.0
113.0,497.0
114.0,503.0
115.0,498.0
116.0,506.0
117.0,492.0
118.0,500.0
120.0,493.0
121.0,495.0
122.0,504.0
123.0,497.0
124.0,504.0
125.0,494.0
126.0,499.0
127.0,494.0
128.0,495.0
129.0,506.0
130.0,497.0
131.0,503.0
132.0,498.0
133.0,499.0
134.0,494.0
135.0,499.0
136.0,503.0
137.0,495.0
138.0,507.0
139.0,495.0
140.0,499.0
141.0,496.0
142.0,496.0
143.0,500.0
144.0,497.0
145.0,506.0
146.0,498.0
147.0,502.0
148.0,494.0
149.0,499.0
150.0,496.0
151.0,497.0
152.0,506.0
153.0,496.0
154.0,504.0
155.0,497.0
156.0,497.0
157.0,497.0
158.0,497.0
159.0,504.0
160.0,497.0
162.0,505.0
163.0,498.0
164.0,500.0
165.0,494.0
166.0,500.0
167.0,502.0
168.0,498.0
169.0,506.0
170.0,494.0
171.0,501.0
172.0,495.0
173.0,500.0
174.0,501.0
175.0,495.0
176.0,507.0
177.0,496.0
178.0,501.0
179.0,495.0
180.0,497.0
181.0,498.0
182.0,499.0
183.0,507.0
184.0,502.0
185.0,508.0
186.0,509.0
187.0,509.0
188.0,511.0
189.0,509.0
190.0,511.0
191.0,512.0
192.0,516.0
193.0,513.0
194.0,513.0
195.0,512.0
196.0,510.0
197.0,512.0
198.0,511.0
199.0,516.0
200.0,512.0
201.0,517.0
202.0,511.0
203.0,512.0
205.0,512.0
206.0,512.0
207.0,523.0
208.0,511.0
209.0,511.0
210.0,511.0
211.0,511.0
212.0,511.0
213.0,512.0
214.0,512.0
215.0,507.0
216.0,511.0
217.0,510.0
218.0,510.0
219.0,511.0
220.0,510.0
221.0,511.0
222.0,511.0
223.0,511.0
224.0,511.0
225.0,511.0
226.0,511.0
227.0,511.0
228.0,511.0
229.0,511.0
230.0,511.0
231.0,511.0
232.0,511.0
233.0,511.0
234.0,510.0
235.0,509.0
236.0,510.0
237.0,511.0
238.0,511.0
239.0,511.0
240.0,510.0
241.0,510.0
242.0,510.0
