Time (s),Intensity
1.0,516.0
2.0,516.0
3.0,515.0
4.0,514.0
5.0,515.0
6.0,502.0
7.0,477.0
8.0,464.0
9.0,465.0
10.0,464.0
11.0,473.0
12.0,498.0
13.0,474.0
14.0,484.0
15.0,476.0
16.0,480.0
17.0,478.0
18.0,481.0
19.0,502.0
20.0,478.0
21.0,490.0
22.0,484.0
23.0,488.0
24.0,484.0
25.0,483.0
26.0,503.0
27.0,487.0
28.0,492.0
29.0,483.0
30.0,491.0
31.0,483.0
32.0,492.0
33.0,505.0
34.0,490.0
35.0,496.0
36.0,489.0
37.0,494.0
38.0,485.0
40.0,493.0
41.0,508.0
42.0,491.0
43.0,500.0
44.0,492.0
45.0,495.0
46.0,493.0
47.0,493.0
48.0,506.0
49.0,491.0
50.0,502.0
51.0,494.0
52.0,495.0
53.0,493.0
54.0,497.0
55.0,509.0
56.0,497.0
57.0,502.0
58.0,496.0
59.0,498.0
60.0,498.0
61.0,496.0
62.0,509.0
63.0,496.0
64.0,499.0
65.0,493.0
66.0,497.0
67.0,504.0
68.0,499.0
69.0,509.0
70.0,496.0
71.0,500.0
72.0,495.0
73.0,499.0
74.0,505.0
75.0,501.0
76.0,509.0
77.0,497.0
78.0,499.0
79.0,498.0
80.0,501.0
81.0,507.0
83.0,499.0
84.0,509.0
85.0,500.0
86.0,505.0
87.0,495.0
88.0,500.0
89.0,507.0
90.0,500.0
91.0,509.0
92.0,500.0
93.0,502.0
94.0,497.0
95.0,499.0
96.0,507.0
97.0,499.0
98.0,510.0
99.0,500.0
100.0,503.0
101.0,497.0
102.0,501.0
103.0,509.0
104.0,500.0
105.0,509.0
106.0,501.0
107.0,503.0
108.0,496.0
109.0,503.0
110.0,508.0
111.0,498.0
112.0,509.0
113.0,500.0
114.0,501.0
115.0,500.0
116.0,501.0
117.0,509.0
118.0,502.0
119.0,507.0
120.0,498.0
121.0,504.0
122.0,500.0
123.0,503.0
124.0,510.0
126.0,499.0
127.0,508.0
128.0,500.0
129.0,501.0
130.0,500.0
131.0,502.0
132.0,509.0
133.0,501.0
134.0,507.0
135.0,501.0
136.0,502.0
137.0,497.0
138.0,503.0
139.0,510.0
140.0,502.0
141.0,508.0
142.0,499.0
143.0,504.0
144.0,498.0
145.0,503.0
146.0,510.0
147.0,499.0
148.0,507.0
149.0,498.0
150.0,504.0
151.0,498.0
152.0,501.0
153.0,510.0
154.0,499.0
155.0,509.0
156.0,499.0
157.0,503.0
158.0,499.0
159.0,501.0
160.0,509.0
161.0,499.0
162.0,510.0
163.0,503.0
164.0,504.0
165.0,500.0
166.0,500.0
168.0,509.0
169.0,500.0
170.0,509.0
171.0,502.0
172.0,505.0
173.0,512.0
174.0,513.0
175.0,514.0
176.0,510.0
177.0,516.0
178.0,514.0
179.0,518.0
180.0,516.0
181.0,520.0
182.0,518.0
183.0,518.0
184.0,526.0
185.0,516.0
186.0,517.0
187.0,514.0
188.0,514.0
189.0,516.0
190.0,516.0
191.0,520.0
192.0,516.0
193.0,517.0
194.0,515.0
195.0,515.0
196.0,515.0
197.0,515.0
198.0,515.0
199.0,515.0
200.0,515.0
201.0,515.0
202.0,515.0
203.0,510.0
204.0,512.0
205.0,507.0
206.0,515.0
207.0,515.0
208.0,515.0
209.0,515.0
211.0,514.0
212.0,514.0
213.0,515.0
214.0,515.0
215.0,515.0
216.0,515.0
217.0,515.0
218.0,515.0
219.0,514.0
220.0,514.0
221.0,515.0
222.0,516.0
223.0,507.0
224.0,514.0
225.0,515.0
226.0,515.0
227.0,515.0
228.0,514.0
229.0,515.0
230.0,515.0
231.0,514.0
232.0,514.0
233.0,515.0
234.0,514.0
235.0,514.0
236.0,514.0
237.0,514.0
238.0,515.0
239.0,515.0
240.0,515.0
241.0,516.0
242.0,508.0
243.0,514.0
244.0,514.0
245.0,515.0
246.0,514.0
247.0,512.0
248.0,514.0
249.0,513.0
250.0,515.0
251.0,514.0
252.0,514.0
254.0,515.0
255.0,515.0
256.0,515.0
257.0,515.0
258.0,515.0
259.0,515.0
260.0,514.0
261.0,514.0
262.0,515.0
263.0,515.0
264.0,515.0
265.0,515.0
266.0,515.0
267.0,515.0
268.0,514.0
269.0,514.0
270.0,514.0
271.0,514.0
272.0,515.0
273.0,515.0
274.0,515.0
275.0,515.0
276.0,515.0
277.0,515.0
278.0,514.0
279.0,515.0
280.0,515.0
281.0,516.0
282.0,516.0
283.0,516.0
284.0,515.0
285.0,515.0
286.0,515.0
287.0,514.0
288.0,515.0
289.0,515.0
290.0,515.0
291.0,515.0
292.0,515.0
293.0,515.0
294.0,515.0
296.0,515.0
297.0,515.0
298.0,515.0
299.0,515.0
300.0,515.0
301.0,514.0
302.0,515.0
303.0,515.0
304.0,514.0
305.0,515.0
306.0,515.0
307.0,515.0
308.0,515.0
309.0,515.0
310.0,515.0
311.0,515.0
312.0,514.0
313.0,515.0
314.0,515.0
315.0,515.0
316.0,515.0
317.0,515.0
318.0,515.0
319.0,515.0
320.0,515.0
321.0,516.0
322.0,516.0
323.0,516.0
324.0,515.0
325.0,514.0
326.0,514.0
327.0,514.0
328.0,514.0
329.0,514.0
330.0,515.0
331.0,515.0
332.0,515.0
333.0,515.0
334.0,515.0
335.0,514.0
336.0,514.0
337.0,514.0
339.0,515.0
340.0,515.0
341.0,515.0
342.0,515.0
343.0,515.0
344.0,514.0
345.0,514.0
346.0,515.0
347.0,515.0
348.0,515.0
349.0,515.0
350.0,515.0
351.0,515.0
352.0,514.0
353.0,514.0
354.0,515.0
