Time (s),Intensity
1.0,528.0
2.0,528.0
3.0,528.0
4.0,528.0
5.0,528.0
6.0,528.0
7.0,527.0
8.0,527.0
9.0,527.0
10.0,529.0
11.0,529.0
12.0,528.0
13.0,528.0
15.0,528.0
16.0,475.0
17.0,510.0
18.0,476.0
19.0,486.0
20.0,480.0
21.0,483.0
22.0,498.0
23.0,481.0
24.0,515.0
25.0,486.0
26.0,491.0
27.0,481.0
28.0,491.0
29.0,510.0
30.0,494.0
31.0,517.0
32.0,493.0
33.0,494.0
34.0,493.0
35.0,501.0
36.0,513.0
37.0,495.0
38.0,519.0
39.0,498.0
40.0,503.0
41.0,494.0
42.0,502.0
43.0,515.0
44.0,505.0
45.0,518.0
46.0,503.0
47.0,506.0
48.0,498.0
49.0,504.0
50.0,519.0
51.0,503.0
52.0,513.0
53.0,505.0
54.0,509.0
55.0,511.0
57.0,508.0
58.0,519.0
59.0,503.0
60.0,507.0
61.0,503.0
62.0,507.0
63.0,519.0
64.0,507.0
65.0,519.0
66.0,506.0
67.0,508.0
68.0,504.0
69.0,507.0
70.0,520.0
71.0,509.0
72.0,517.0
73.0,510.0
74.0,513.0
75.0,510.0
76.0,511.0
77.0,521.0
78.0,508.0
79.0,515.0
80.0,512.0
81.0,513.0
82.0,516.0
83.0,510.0
84.0,521.0
85.0,513.0
86.0,514.0
87.0,509.0
88.0,512.0
89.0,520.0
90.0,513.0
91.0,523.0
92.0,509.0
93.0,516.0
94.0,509.0
95.0,513.0
96.0,520.0
97.0,514.0
98.0,521.0
100.0,509.0
101.0,516.0
102.0,511.0
103.0,512.0
104.0,523.0
105.0,513.0
106.0,516.0
107.0,513.0
108.0,515.0
109.0,516.0
110.0,515.0
111.0,523.0
112.0,511.0
113.0,518.0
114.0,512.0
115.0,513.0
116.0,523.0
117.0,511.0
118.0,517.0
119.0,513.0
120.0,514.0
121.0,520.0
122.0,515.0
123.0,523.0
124.0,514.0
125.0,515.0
126.0,510.0
127.0,514.0
128.0,523.0
129.0,516.0
130.0,519.0
131.0,511.0
132.0,515.0
133.0,516.0
134.0,515.0
135.0,523.0
136.0,512.0
137.0,517.0
138.0,512.0
139.0,517.0
140.0,519.0
141.0,514.0
143.0,523.0
144.0,512.0
145.0,517.0
146.0,511.0
147.0,517.0
148.0,523.0
149.0,514.0
150.0,519.0
151.0,512.0
152.0,516.0
153.0,516.0
154.0,517.0
155.0,524.0
156.0,515.0
157.0,516.0
158.0,512.0
159.0,515.0
160.0,521.0
161.0,515.0
162.0,520.0
163.0,516.0
164.0,515.0
165.0,516.0
166.0,517.0
167.0,523.0
168.0,512.0
169.0,516.0
170.0,515.0
171.0,519.0
172.0,522.0
173.0,514.0
174.0,523.0
175.0,512.0
176.0,518.0
177.0,513.0
178.0,517.0
179.0,524.0
180.0,519.0
181.0,528.0
182.0,526.0
183.0,528.0
185.0,528.0
186.0,529.0
187.0,529.0
188.0,529.0
189.0,538.0
190.0,529.0
191.0,534.0
192.0,530.0
193.0,529.0
194.0,530.0
195.0,528.0
196.0,530.0
197.0,528.0
198.0,529.0
199.0,529.0
200.0,528.0
201.0,535.0
202.0,529.0
203.0,529.0
204.0,528.0
205.0,529.0
206.0,528.0
207.0,528.0
208.0,527.0
209.0,528.0
210.0,529.0
211.0,503.0
212.0,523.0
213.0,496.0
214.0,528.0
215.0,528.0
216.0,527.0
217.0,528.0
218.0,528.0
219.0,528.0
220.0,529.0
221.0,529.0
222.0,528.0
223.0,528.0
224.0,528.0
225.0,528.0
226.0,528.0
228.0,528.0
229.0,528.0
230.0,529.0
231.0,529.0
232.0,529.0
233.0,526.0
234.0,528.0
235.0,528.0
236.0,528.0
237.0,529.0
238.0,529.0
239.0,528.0
240.0,528.0
241.0,528.0
242.0,528.0
243.0,528.0
244.0,528.0
245.0,529.0
246.0,529.0
247.0,528.0
248.0,528.0
249.0,528.0
250.0,529.0
251.0,529.0
252.0,524.0
253.0,529.0
254.0,529.0
255.0,528.0
256.0,527.0
257.0,528.0
258.0,528.0
259.0,528.0
260.0,528.0
261.0,529.0
262.0,529.0
263.0,528.0
264.0,528.0
265.0,528.0
266.0,528.0
267.0,528.0
268.0,528.0
269.0,528.0
271.0,529.0
272.0,529.0
273.0,528.0
274.0,528.0
275.0,528.0
276.0,528.0
277.0,528.0
278.0,528.0
279.0,529.0
280.0,529.0
281.0,528.0
282.0,528.0
283.0,528.0
284.0,528.0
285.0,528.0
286.0,528.0
287.0,528.0
288.0,528.0
289.0,528.0
290.0,528.0
291.0,528.0
292.0,529.0
293.0,528.0
294.0,528.0
295.0,529.0
296.0,528.0
297.0,528.0
298.0,528.0
299.0,528.0
300.0,528.0
301.0,528.0
302.0,528.0
303.0,528.0
304.0,529.0
305.0,528.0
306.0,527.0
307.0,528.0
308.0,528.0
309.0,528.0
310.0,529.0
311.0,529.0
313.0,529.0
314.0,529.0
315.0,528.0
316.0,528.0
317.0,527.0
318.0,528.0
319.0,528.0
320.0,528.0
321.0,528.0
322.0,528.0
323.0,527.0
324.0,528.0
325.0,527.0
326.0,528.0
327.0,527.0
328.0,528.0
329.0,528.0
330.0,529.0
331.0,529.0
332.0,529.0
333.0,528.0
334.0,528.0
335.0,528.0
336.0,528.0
337.0,528.0
338.0,528.0
339.0,528.0
340.0,528.0
341.0,528.0
342.0,528.0
343.0,528.0
344.0,528.0
345.0,529.0
346.0,529.0
347.0,528.0
348.0,528.0
349.0,528.0
350.0,529.0
351.0,529.0
352.0,528.0
353.0,529.0
354.0,529.0
356.0,528.0
357.0,528.0
358.0,528.0
359.0,528.0
360.0,528.0
361.0,528.0
362.0,529.0
363.0,529.0
364.0,528.0
365.0,528.0
366.0,528.0
367.0,528.0
368.0,528.0
369.0,528.0
370.0,529.0
371.0,530.0
372.0,530.0
373.0,528.0
374.0,528.0
375.0,528.0
376.0,528.0
377.0,528.0
378.0,528.0
379.0,529.0
380.0,528.0
381.0,528.0
382.0,528.0
383.0,528.0
384.0,528.0
385.0,528.0
386.0,528.0
387.0,529.0
388.0,529.0
389.0,528.0
390.0,529.0
391.0,529.0
392.0,528.0
393.0,528.0
394.0,528.0
395.0,529.0
396.0,529.0
397.0,529.0
399.0,528.0
400.0,528.0
401.0,528.0
402.0,528.0
403.0,528.0
404.0,528.0
405.0,528.0
406.0,528.0
407.0,528.0
408.0,528.0
409.0,528.0
410.0,528.0
411.0,529.0
412.0,529.0
413.0,529.0
414.0,528.0
415.0,528.0
416.0,528.0
417.0,528.0
418.0,528.0
419.0,528.0
420.0,528.0
421.0,528.0
422.0,528.0
423.0,528.0
424.0,528.0
425.0,528.0
426.0,528.0
427.0,528.0
428.0,528.0
429.0,529.0
430.0,529.0
431.0,529.0
432.0,528.0
433.0,528.0
434.0,528.0
435.0,527.0
436.0,528.0
437.0,528.0
438.0,528.0
439.0,528.0
441.0,527.0
442.0,527.0
443.0,528.0
444.0,528.0
445.0,528.0
446.0,528.0
447.0,529.0
448.0,526.0
449.0,528.0
450.0,528.0
451.0,529.0
452.0,529.0
453.0,528.0
454.0,529.0
455.0,528.0
456.0,523.0
457.0,528.0
458.0,527.0
459.0,528.0
460.0,528.0
461.0,528.0
462.0,529.0
463.0,529.0
464.0,528.0
465.0,528.0
466.0,528.0
467.0,528.0
468.0,528.0
469.0,528.0
470.0,529.0
471.0,529.0
472.0,529.0
473.0,528.0
