Time (s),Intensity
1.0,515.0
2.0,514.0
3.0,514.0
4.0,514.0
5.0,514.0
6.0,514.0
7.0,513.0
8.0,515.0
9.0,514.0
10.0,514.0
11.0,514.0
12.0,464.0
13.0,460.0
14.0,465.0
15.0,476.0
16.0,469.0
17.0,498.0
18.0,470.0
19.0,476.0
20.0,472.0
21.0,473.0
22.0,469.0
23.0,477.0
24.0,501.0
25.0,482.0
26.0,490.0
27.0,480.0
28.0,485.0
30.0,479.0
31.0,483.0
32.0,500.0
33.0,484.0
34.0,496.0
35.0,480.0
36.0,488.0
37.0,482.0
38.0,483.0
39.0,504.0
40.0,483.0
41.0,503.0
42.0,484.0
43.0,489.0
44.0,488.0
45.0,487.0
46.0,504.0
47.0,490.0
48.0,505.0
49.0,491.0
50.0,496.0
51.0,487.0
52.0,491.0
53.0,501.0
54.0,494.0
55.0,506.0
56.0,490.0
57.0,493.0
58.0,490.0
59.0,495.0
60.0,502.0
61.0,495.0
62.0,507.0
63.0,495.0
64.0,498.0
65.0,493.0
66.0,496.0
67.0,500.0
68.0,495.0
69.0,507.0
70.0,495.0
71.0,499.0
73.0,494.0
74.0,499.0
75.0,497.0
76.0,499.0
77.0,508.0
78.0,495.0
79.0,503.0
80.0,495.0
81.0,497.0
82.0,491.0
83.0,495.0
84.0,506.0
85.0,497.0
86.0,505.0
87.0,496.0
88.0,500.0
89.0,494.0
90.0,495.0
91.0,507.0
92.0,498.0
93.0,504.0
94.0,494.0
95.0,497.0
96.0,493.0
97.0,498.0
98.0,508.0
99.0,498.0
100.0,502.0
101.0,494.0
102.0,498.0
103.0,497.0
104.0,499.0
105.0,508.0
106.0,495.0
107.0,502.0
108.0,500.0
109.0,500.0
110.0,498.0
111.0,495.0
112.0,508.0
113.0,498.0
114.0,501.0
116.0,495.0
117.0,499.0
118.0,502.0
119.0,499.0
120.0,507.0
121.0,496.0
122.0,503.0
123.0,498.0
124.0,499.0
125.0,500.0
126.0,501.0
127.0,508.0
128.0,496.0
129.0,502.0
130.0,499.0
131.0,499.0
132.0,501.0
133.0,500.0
134.0,509.0
135.0,498.0
136.0,500.0
137.0,498.0
138.0,500.0
139.0,500.0
140.0,500.0
141.0,509.0
142.0,498.0
143.0,501.0
144.0,498.0
145.0,500.0
146.0,501.0
147.0,499.0
148.0,509.0
149.0,498.0
150.0,502.0
151.0,499.0
152.0,499.0
153.0,499.0
154.0,501.0
155.0,509.0
156.0,498.0
158.0,502.0
159.0,498.0
160.0,500.0
161.0,500.0
162.0,500.0
163.0,508.0
164.0,497.0
165.0,504.0
166.0,498.0
167.0,499.0
168.0,503.0
169.0,500.0
170.0,508.0
171.0,498.0
172.0,504.0
173.0,497.0
174.0,500.0
175.0,499.0
176.0,500.0
177.0,508.0
178.0,500.0
179.0,507.0
180.0,498.0
181.0,503.0
182.0,497.0
183.0,504.0
184.0,511.0
185.0,507.0
186.0,513.0
187.0,508.0
188.0,514.0
189.0,516.0
190.0,526.0
191.0,514.0
192.0,513.0
193.0,514.0
194.0,513.0
195.0,515.0
196.0,513.0
197.0,516.0
198.0,515.0
199.0,517.0
201.0,514.0
202.0,515.0
203.0,516.0
204.0,515.0
205.0,519.0
206.0,515.0
207.0,515.0
208.0,516.0
209.0,514.0
210.0,485.0
211.0,513.0
212.0,513.0
213.0,513.0
214.0,514.0
215.0,514.0
216.0,514.0
217.0,513.0
218.0,514.0
219.0,514.0
220.0,514.0
221.0,512.0
222.0,514.0
223.0,513.0
224.0,514.0
225.0,514.0
226.0,514.0
227.0,515.0
228.0,515.0
229.0,512.0
230.0,497.0
231.0,514.0
232.0,514.0
233.0,511.0
234.0,514.0
235.0,513.0
236.0,513.0
237.0,513.0
238.0,513.0
239.0,514.0
240.0,514.0
241.0,514.0
242.0,514.0
244.0,514.0
245.0,514.0
246.0,514.0
247.0,514.0
248.0,514.0
249.0,514.0
250.0,514.0
251.0,513.0
252.0,510.0
253.0,513.0
254.0,513.0
255.0,513.0
256.0,513.0
257.0,514.0
258.0,514.0
259.0,514.0
260.0,514.0
261.0,514.0
262.0,514.0
263.0,513.0
264.0,514.0
265.0,513.0
266.0,514.0
267.0,514.0
268.0,515.0
269.0,515.0
270.0,513.0
271.0,511.0
272.0,514.0
273.0,514.0
274.0,514.0
275.0,514.0
276.0,514.0
277.0,514.0
278.0,514.0
279.0,514.0
280.0,514.0
281.0,514.0
282.0,514.0
283.0,514.0
284.0,514.0
286.0,514.0
287.0,513.0
288.0,514.0
289.0,515.0
290.0,515.0
291.0,515.0
292.0,514.0
293.0,513.0
294.0,510.0
295.0,514.0
296.0,513.0
297.0,513.0
298.0,513.0
299.0,514.0
300.0,514.0
301.0,512.0
302.0,514.0
303.0,514.0
304.0,513.0
305.0,513.0
306.0,514.0
307.0,514.0
308.0,515.0
309.0,515.0
310.0,514.0
311.0,514.0
312.0,513.0
313.0,513.0
314.0,513.0
315.0,513.0
316.0,514.0
317.0,512.0
318.0,514.0
319.0,514.0
320.0,513.0
321.0,514.0
322.0,514.0
323.0,514.0
324.0,514.0
325.0,514.0
326.0,514.0
327.0,514.0
329.0,515.0
330.0,514.0
331.0,513.0
332.0,514.0
333.0,514.0
334.0,514.0
335.0,514.0
336.0,514.0
337.0,514.0
338.0,514.0
339.0,514.0
340.0,514.0
341.0,514.0
342.0,514.0
343.0,514.0
344.0,514.0
345.0,514.0
346.0,514.0
347.0,514.0
348.0,515.0
349.0,515.0
350.0,515.0
351.0,514.0
352.0,514.0
353.0,514.0
354.0,514.0
355.0,514.0
356.0,514.0
357.0,514.0
358.0,514.0
359.0,514.0
360.0,514.0
361.0,514.0
362.0,514.0
363.0,514.0
364.0,514.0
365.0,514.0
366.0,514.0
367.0,514.0
368.0,515.0
369.0,515.0
370.0,514.0
372.0,514.0
373.0,514.0
374.0,514.0
375.0,514.0
376.0,514.0
377.0,514.0
378.0,514.0
379.0,514.0
380.0,514.0
381.0,514.0
382.0,514.0
383.0,514.0
384.0,514.0
385.0,514.0
386.0,514.0
387.0,514.0
388.0,515.0
389.0,515.0
390.0,514.0
391.0,514.0
392.0,514.0
393.0,514.0
394.0,514.0
395.0,514.0
