Time (s),Intensity
0.0,434.0
1.0,434.0
1.0,434.0
2.0,434.0
3.0,434.0
6.0,434.0
19.0,388.0
35.0,395.0
49.0,416.0
63.0,425.0
78.0,412.0
92.0,419.0
107.0,425.0
123.0,425.0
138.0,414.0
153.0,421.0
170.0,428.0
185.0,416.0
201.0,419.0
216.0,432.0
232.0,422.0
248.0,421.0
263.0,432.0
278.0,420.0
294.0,425.0
310.0,426.0
326.0,435.0
341.0,433.0
356.0,434.0
373.0,435.0
388.0,435.0
403.0,435.0
419.0,435.0
435.0,435.0
450.0,435.0
466.0,435.0
481.0,435.0
498.0,435.0
513.0,434.0
528.0,435.0
544.0,434.0
559.0,434.0
575.0,434.0
591.0,434.0
606.0,434.0
621.0,435.0
638.0,434.0
653.0,434.0
669.0,434.0
684.0,434.0
700.0,434.0
716.0,435.0
731.0,435.0
746.0,434.0
763.0,434.0
778.0,434.0
793.0,434.0
809.0,434.0
824.0,435.0
841.0,435.0
856.0,435.0
871.0,434.0
887.0,434.0
903.0,434.0
918.0,434.0
934.0,434.0
949.0,435.0
966.0,435.0
981.0,434.0
996.0,434.0
1012.0,434.0
1029.0,434.0
1045.0,434.0
1062.0,434.0
1078.0,434.0
1096.0,434.0
1112.0,434.0
1128.0,434.0
1145.0,434.0
1162.0,434.0
1178.0,434.0
1195.0,434.0
1211.0,434.0
1229.0,434.0
1245.0,434.0
1261.0,434.0
1278.0,433.0
1295.0,433.0
1312.0,433.0
1328.0,434.0
1344.0,434.0
1362.0,434.0
1378.0,433.0
1395.0,434.0
1411.0,434.0
1428.0,434.0
1445.0,434.0
1461.0,434.0
1478.0,434.0
1495.0,434.0
1511.0,434.0
1528.0,434.0
1544.0,434.0
1561.0,433.0
1578.0,434.0
1594.0,434.0
1611.0,434.0
1628.0,434.0
1644.0,434.0
1661.0,434.0
1677.0,434.0
1695.0,433.0
1711.0,433.0
1727.0,433.0
1744.0,434.0
1761.0,434.0
1778.0,433.0
1794.0,434.0
1810.0,434.0
1828.0,434.0
1844.0,434.0
1860.0,433.0
1877.0,434.0
1894.0,434.0
1911.0,434.0
1927.0,434.0
1943.0,433.0
1961.0,433.0
1977.0,434.0
1994.0,434.0
2010.0,434.0
2027.0,434.0
2044.0,433.0
2060.0,434.0
2077.0,434.0
2094.0,434.0
2110.0,434.0
2127.0,433.0
2143.0,434.0
2161.0,434.0
2177.0,433.0
2193.0,434.0
2210.0,434.0
2227.0,433.0
2243.0,434.0
2260.0,434.0
2276.0,434.0
2294.0,434.0
2310.0,434.0
2326.0,433.0
2343.0,434.0
2360.0,434.0
2377.0,434.0
2393.0,433.0
2409.0,433.0
2427.0,434.0
2443.0,434.0
2460.0,434.0
2476.0,434.0
2493.0,434.0
2510.0,434.0
2526.0,434.0
2542.0,433.0
2560.0,434.0
2576.0,434.0
2593.0,434.0
2609.0,434.0
2626.0,433.0
2643.0,434.0
2659.0,433.0
2676.0,434.0
2693.0,433.0
2709.0,434.0
2726.0,434.0
2742.0,434.0
2760.0,434.0
2776.0,434.0
2792.0,434.0
2809.0,434.0
2826.0,434.0
2842.0,434.0
2859.0,433.0
2875.0,434.0
2893.0,434.0
2909.0,434.0
2925.0,434.0
2942.0,434.0
2959.0,434.0
2976.0,433.0
2992.0,432.0
3008.0,429.0
3026.0,417.0
3042.0,336.0
3058.0,11.0
3074.0,163.0
3090.0,427.0
3108.0,434.0
3124.0,434.0
3140.0,434.0
3157.0,434.0
3174.0,434.0
3191.0,434.0
3207.0,433.0
3223.0,433.0
3241.0,434.0
3257.0,433.0
3274.0,434.0
3290.0,434.0
3307.0,434.0
3324.0,434.0
3340.0,434.0
3357.0,434.0
3374.0,434.0
3390.0,433.0
3407.0,434.0
3423.0,433.0
3441.0,434.0
3457.0,433.0
3473.0,434.0
3490.0,434.0
3507.0,434.0
3523.0,434.0
3540.0,434.0
3556.0,434.0
3574.0,434.0
3590.0,434.0
3606.0,434.0
3623.0,434.0
3640.0,434.0
3657.0,434.0
3673.0,434.0
3689.0,434.0
3707.0,434.0
3723.0,434.0
3740.0,434.0
3756.0,434.0
3773.0,434.0
3790.0,434.0
3806.0,434.0
3822.0,434.0
3840.0,434.0
3856.0,435.0
3873.0,434.0
3889.0,434.0
3906.0,434.0
3923.0,434.0
3939.0,434.0
3956.0,434.0
3973.0,434.0
3989.0,434.0
4006.0,434.0
4022.0,434.0
4040.0,434.0
4056.0,434.0
4072.0,434.0
4089.0,434.0
4106.0,434.0
4122.0,433.0
4139.0,434.0
4155.0,433.0
4173.0,434.0
4189.0,434.0
4205.0,434.0
4222.0,434.0
4239.0,433.0
4256.0,434.0
