Time (s),Intensity
1.0,443.0
2.0,443.0
3.0,443.0
3.0,443.0
4.0,442.0
8.0,443.0
22.0,443.0
36.0,399.0
50.0,417.0
66.0,425.0
80.0,435.0
94.0,426.0
109.0,425.0
125.0,427.0
140.0,438.0
156.0,427.0
171.0,429.0
186.0,437.0
203.0,422.0
218.0,427.0
234.0,438.0
249.0,430.0
265.0,449.0
281.0,444.0
296.0,443.0
311.0,442.0
328.0,442.0
343.0,439.0
358.0,441.0
374.0,443.0
389.0,443.0
406.0,444.0
421.0,444.0
436.0,443.0
452.0,443.0
468.0,442.0
483.0,442.0
499.0,442.0
514.0,443.0
531.0,443.0
546.0,443.0
561.0,443.0
577.0,442.0
593.0,442.0
608.0,442.0
624.0,443.0
639.0,443.0
654.0,443.0
671.0,443.0
686.0,443.0
702.0,443.0
717.0,443.0
733.0,442.0
749.0,442.0
764.0,443.0
779.0,443.0
796.0,442.0
811.0,442.0
826.0,442.0
842.0,442.0
858.0,442.0
874.0,443.0
889.0,443.0
904.0,443.0
920.0,443.0
936.0,443.0
951.0,442.0
967.0,442.0
982.0,443.0
998.0,443.0
1014.0,443.0
1030.0,443.0
1047.0,443.0
1064.0,442.0
1080.0,443.0
1097.0,443.0
1113.0,443.0
1131.0,442.0
1147.0,443.0
1163.0,443.0
1180.0,443.0
1197.0,443.0
1214.0,443.0
1230.0,443.0
1246.0,443.0
1264.0,442.0
1280.0,443.0
1296.0,443.0
1313.0,443.0
1330.0,443.0
1347.0,443.0
1363.0,443.0
1379.0,443.0
1397.0,443.0
1413.0,443.0
1430.0,443.0
1446.0,443.0
1463.0,443.0
1480.0,443.0
1496.0,443.0
1513.0,442.0
1530.0,443.0
1546.0,443.0
1563.0,443.0
1579.0,443.0
1596.0,443.0
1613.0,443.0
1629.0,443.0
1646.0,443.0
1663.0,443.0
1679.0,443.0
1696.0,443.0
1712.0,443.0
1730.0,443.0
1746.0,443.0
1762.0,444.0
1779.0,443.0
1796.0,443.0
1813.0,443.0
1829.0,443.0
1845.0,443.0
1863.0,443.0
1879.0,443.0
1896.0,443.0
1912.0,443.0
1929.0,443.0
1946.0,443.0
1962.0,444.0
1978.0,443.0
1996.0,443.0
2012.0,443.0
2029.0,443.0
2045.0,443.0
2062.0,444.0
2079.0,443.0
2095.0,443.0
2112.0,443.0
2129.0,443.0
2145.0,444.0
2162.0,443.0
2178.0,443.0
2196.0,443.0
2212.0,443.0
2228.0,443.0
2245.0,443.0
2262.0,443.0
2278.0,443.0
2295.0,443.0
2311.0,443.0
2329.0,443.0
2345.0,443.0
2361.0,443.0
2378.0,443.0
2395.0,443.0
2412.0,443.0
2428.0,443.0
2444.0,443.0
2462.0,443.0
2478.0,443.0
2495.0,443.0
2511.0,443.0
2528.0,442.0
2545.0,443.0
2561.0,443.0
2577.0,443.0
2595.0,443.0
2611.0,443.0
2628.0,443.0
2644.0,443.0
2661.0,443.0
2678.0,443.0
2694.0,443.0
2711.0,443.0
2728.0,443.0
2744.0,443.0
2761.0,443.0
2777.0,443.0
2795.0,443.0
2811.0,443.0
2827.0,443.0
2844.0,443.0
2861.0,443.0
2878.0,443.0
2894.0,443.0
2910.0,442.0
2928.0,443.0
2944.0,443.0
2960.0,443.0
2977.0,443.0
2994.0,441.0
3011.0,440.0
3027.0,433.0
3043.0,417.0
3061.0,104.0
3076.0,15.0
3093.0,412.0
3109.0,442.0
3126.0,442.0
3143.0,443.0
3159.0,443.0
3176.0,443.0
3193.0,443.0
3209.0,443.0
3226.0,443.0
3242.0,443.0
3259.0,442.0
3276.0,442.0
3292.0,443.0
3309.0,443.0
3326.0,443.0
3342.0,443.0
3359.0,442.0
3375.0,442.0
3393.0,442.0
3409.0,443.0
3425.0,443.0
3442.0,443.0
3459.0,442.0
3476.0,443.0
3492.0,442.0
3508.0,442.0
3526.0,442.0
3542.0,442.0
3558.0,443.0
3575.0,442.0
3592.0,442.0
3609.0,442.0
3625.0,442.0
3641.0,443.0
3659.0,442.0
3675.0,443.0
3692.0,442.0
3708.0,442.0
