Time (s),Intensity
0.0,485.0
0.0,485.0
1.0,484.0
2.0,484.0
3.0,484.0
16.0,484.0
33.0,438.0
50.0,455.0
66.0,461.0
83.0,461.0
100.0,466.0
117.0,468.0
135.0,475.0
153.0,470.0
171.0,479.0
188.0,473.0
206.0,472.0
224.0,479.0
241.0,474.0
259.0,480.0
276.0,477.0
295.0,480.0
312.0,480.0
329.0,489.0
347.0,489.0
365.0,487.0
383.0,483.0
400.0,483.0
419.0,485.0
436.0,487.0
453.0,488.0
471.0,489.0
489.0,489.0
507.0,489.0
524.0,489.0
541.0,489.0
560.0,489.0
577.0,488.0
595.0,488.0
612.0,486.0
630.0,485.0
648.0,484.0
665.0,485.0
683.0,487.0
701.0,490.0
719.0,492.0
736.0,493.0
754.0,491.0
772.0,489.0
789.0,488.0
807.0,488.0
825.0,486.0
842.0,483.0
860.0,484.0
877.0,487.0
896.0,489.0
913.0,488.0
931.0,490.0
948.0,492.0
966.0,490.0
984.0,490.0
1001.0,491.0
1021.0,489.0
1039.0,488.0
1057.0,488.0
1076.0,486.0
1095.0,486.0
1114.0,488.0
1132.0,485.0
1152.0,487.0
1170.0,488.0
1189.0,487.0
1207.0,489.0
1226.0,487.0
1245.0,487.0
1263.0,490.0
1282.0,487.0
1301.0,488.0
1320.0,488.0
1338.0,486.0
1358.0,487.0
1376.0,484.0
1394.0,484.0
1413.0,487.0
1432.0,484.0
1451.0,486.0
1469.0,486.0
1489.0,486.0
1507.0,488.0
1525.0,485.0
1544.0,486.0
1563.0,486.0
1582.0,484.0
1600.0,486.0
1620.0,484.0
1638.0,485.0
1657.0,486.0
1675.0,485.0
1694.0,488.0
1713.0,486.0
1731.0,486.0
1751.0,486.0
1769.0,485.0
1788.0,487.0
1806.0,484.0
1825.0,485.0
1844.0,485.0
1862.0,484.0
1881.0,487.0
1900.0,485.0
1919.0,486.0
1937.0,487.0
1957.0,485.0
1975.0,486.0
1993.0,485.0
2012.0,485.0
2031.0,486.0
2050.0,484.0
2068.0,486.0
2088.0,486.0
2106.0,485.0
2124.0,487.0
2143.0,485.0
2162.0,487.0
2181.0,486.0
2199.0,484.0
2219.0,486.0
2237.0,484.0
2256.0,485.0
2274.0,485.0
2293.0,484.0
2312.0,487.0
2330.0,485.0
2350.0,485.0
2368.0,486.0
2387.0,485.0
2405.0,486.0
2425.0,485.0
2443.0,484.0
2461.0,486.0
2480.0,485.0
2499.0,486.0
2518.0,486.0
2536.0,486.0
2556.0,487.0
2574.0,484.0
2592.0,484.0
2611.0,486.0
2630.0,484.0
2649.0,485.0
2667.0,485.0
2687.0,485.0
2705.0,486.0
2724.0,484.0
2742.0,484.0
2761.0,486.0
2780.0,484.0
2798.0,485.0
2818.0,485.0
2836.0,485.0
2855.0,486.0
2873.0,484.0
2892.0,485.0
2911.0,486.0
2929.0,485.0
2949.0,486.0
2967.0,485.0
2986.0,485.0
3004.0,486.0
3024.0,484.0
3042.0,485.0
3060.0,487.0
3079.0,485.0
3098.0,486.0
3117.0,486.0
3135.0,485.0
3155.0,486.0
3173.0,484.0
3191.0,484.0
3210.0,486.0
3229.0,485.0
3248.0,486.0
3266.0,486.0
3286.0,485.0
3304.0,486.0
3323.0,484.0
3341.0,484.0
3360.0,486.0
3379.0,485.0
3397.0,485.0
3417.0,485.0
3435.0,485.0
3454.0,486.0
3472.0,485.0
3492.0,485.0
3510.0,486.0
3528.0,485.0
3548.0,486.0
3566.0,485.0
3585.0,484.0
3603.0,486.0
3623.0,485.0
3641.0,484.0
3659.0,486.0
3678.0,485.0
3697.0,485.0
3716.0,485.0
3734.0,484.0
3754.0,485.0
3772.0,485.0
3791.0,484.0
3809.0,486.0
3828.0,485.0
3847.0,485.0
3865.0,485.0
3885.0,484.0
3903.0,486.0
3922.0,485.0
3940.0,484.0
3959.0,485.0
3978.0,485.0
3996.0,485.0
4016.0,485.0
4034.0,484.0
4053.0,485.0
4071.0,485.0
4091.0,484.0
4109.0,485.0
4127.0,485.0
4147.0,485.0
4165.0,485.0
4184.0,484.0
4202.0,485.0
4222.0,485.0
4240.0,483.0
4259.0,485.0
4277.0,486.0
4296.0,485.0
4315.0,485.0
4333.0,484.0
4353.0,485.0
4371.0,485.0
4390.0,483.0
4408.0,485.0
4427.0,486.0
4446.0,486.0
4464.0,485.0
4484.0,484.0
4502.0,485.0
4521.0,484.0
4539.0,484.0
4559.0,485.0
4577.0,485.0
4595.0,485.0
4615.0,486.0
4633.0,485.0
4652.0,485.0
4670.0,485.0
4690.0,484.0
4708.0,484.0
4726.0,485.0
4746.0,485.0
4764.0,485.0
4783.0,486.0
4801.0,485.0
4821.0,485.0
4839.0,484.0
4858.0,484.0
4876.0,485.0
4895.0,485.0
4914.0,485.0
4932.0,485.0
4952.0,485.0
4970.0,485.0
4989.0,484.0
5007.0,484.0
5027.0,485.0
5045.0,485.0
5063.0,485.0
5083.0,485.0
5101.0,485.0
5120.0,485.0
5138.0,484.0
5158.0,484.0
5176.0,485.0
5194.0,485.0
5214.0,484.0
5232.0,485.0
5251.0,485.0
5269.0,485.0
5289.0,484.0
5307.0,484.0
5326.0,485.0
5345.0,486.0
5363.0,485.0
5382.0,485.0
5400.0,485.0
5420.0,484.0
5438.0,484.0
5457.0,484.0
5475.0,485.0
5494.0,485.0
5513.0,485.0
5531.0,484.0
5551.0,485.0
5569.0,485.0
5588.0,484.0
5606.0,484.0
5626.0,485.0
5644.0,485.0
5662.0,485.0
5682.0,484.0
5700.0,484.0
5719.0,484.0
5737.0,484.0
5757.0,484.0
5775.0,485.0
5793.0,485.0
5813.0,484.0
5831.0,484.0
5850.0,484.0
5868.0,485.0
5888.0,484.0
5906.0,485.0
5925.0,485.0
5944.0,485.0
5962.0,484.0
5981.0,484.0
5999.0,484.0
6019.0,485.0
6037.0,485.0
6056.0,485.0
6074.0,485.0
6094.0,485.0
6112.0,484.0
6130.0,484.0
6150.0,484.0
6168.0,485.0
6187.0,484.0
6205.0,484.0
6225.0,484.0
6243.0,485.0
6261.0,484.0
6281.0,484.0
6299.0,484.0
6318.0,485.0
6336.0,484.0
6356.0,484.0
6374.0,485.0
6393.0,484.0
6412.0,485.0
6430.0,484.0
6449.0,483.0
6467.0,485.0
6487.0,485.0
6505.0,484.0
6524.0,484.0
6543.0,485.0
6561.0,484.0
6580.0,483.0
6598.0,484.0
6618.0,485.0
6636.0,484.0
6655.0,484.0
6673.0,485.0
6693.0,485.0
6711.0,485.0
6729.0,484.0
6749.0,484.0
6767.0,484.0
6786.0,485.0
6804.0,484.0
6824.0,484.0
6842.0,485.0
6860.0,485.0
6880.0,483.0
6898.0,484.0
6917.0,485.0
6935.0,485.0
6955.0,484.0
6973.0,485.0
6992.0,485.0
7011.0,485.0
7029.0,484.0
7048.0,484.0
7066.0,485.0
7086.0,484.0
7104.0,484.0
7123.0,485.0
7142.0,485.0
7161.0,485.0
7179.0,484.0
7197.0,484.0
7217.0,484.0
7235.0,485.0
7254.0,484.0
7272.0,484.0
7292.0,485.0
7310.0,485.0
7328.0,484.0
7348.0,484.0
7366.0,485.0
7385.0,485.0
7403.0,484.0
7423.0,485.0
7441.0,485.0
7460.0,484.0
7479.0,484.0
7497.0,484.0
7516.0,484.0
7534.0,485.0
7554.0,485.0
7572.0,484.0
7591.0,485.0
7610.0,485.0
7628.0,484.0
7647.0,484.0
7665.0,485.0
7685.0,485.0
7703.0,484.0
7722.0,484.0
7741.0,484.0
7760.0,484.0
7778.0,484.0
7796.0,483.0
7816.0,484.0
7834.0,484.0
7853.0,487.0
7871.0,517.0
7891.0,487.0
7909.0,471.0
7926.0,72.0
7946.0,133.0
7963.0,25.0
7981.0,20.0
7998.0,26.0
8017.0,23.0
8034.0,21.0
8051.0,23.0
8070.0,269.0
8089.0,265.0
8108.0,486.0
8126.0,489.0
8146.0,513.0
8164.0,487.0
8182.0,488.0
8201.0,486.0
8220.0,484.0
8239.0,486.0
8257.0,485.0
8277.0,485.0
8295.0,484.0
8314.0,484.0
8332.0,485.0
8351.0,485.0
8370.0,484.0
8388.0,484.0
8408.0,484.0
8426.0,485.0
8445.0,483.0
8463.0,484.0
8483.0,484.0
8501.0,484.0
8519.0,484.0
