Time (s),Intensity
0.0,519.0
1.0,519.0
0.0,519.0
1.0,519.0
2.0,519.0
15.0,518.0
33.0,478.0
49.0,507.0
66.0,497.0
82.0,510.0
99.0,498.0
116.0,505.0
133.0,501.0
152.0,506.0
169.0,502.0
187.0,507.0
204.0,505.0
222.0,516.0
240.0,517.0
257.0,523.0
275.0,517.0
293.0,514.0
310.0,517.0
328.0,527.0
345.0,521.0
364.0,518.0
381.0,516.0
398.0,516.0
416.0,518.0
434.0,523.0
452.0,527.0
469.0,529.0
488.0,530.0
505.0,529.0
522.0,529.0
540.0,529.0
558.0,527.0
576.0,524.0
593.0,523.0
610.0,519.0
629.0,516.0
646.0,518.0
664.0,518.0
681.0,521.0
700.0,523.0
717.0,522.0
734.0,525.0
753.0,525.0
770.0,526.0
788.0,524.0
805.0,522.0
823.0,522.0
841.0,519.0
858.0,520.0
876.0,517.0
894.0,520.0
911.0,518.0
929.0,520.0
946.0,520.0
965.0,522.0
982.0,521.0
1000.0,522.0
1019.0,522.0
1037.0,523.0
1056.0,520.0
1074.0,520.0
1094.0,519.0
1112.0,520.0
1131.0,518.0
1150.0,520.0
1169.0,519.0
1187.0,521.0
1205.0,519.0
1225.0,520.0
1243.0,519.0
1262.0,520.0
1280.0,518.0
1300.0,519.0
1318.0,519.0
1336.0,520.0
1356.0,519.0
1374.0,519.0
1393.0,520.0
1411.0,519.0
1431.0,519.0
1449.0,517.0
1468.0,519.0
1487.0,518.0
1505.0,518.0
1524.0,518.0
1542.0,520.0
1562.0,519.0
1580.0,519.0
1599.0,519.0
1618.0,520.0
1636.0,519.0
1655.0,518.0
1673.0,518.0
1693.0,518.0
1711.0,519.0
1730.0,518.0
1749.0,519.0
1768.0,518.0
1786.0,519.0
1804.0,518.0
1824.0,518.0
1842.0,517.0
1861.0,518.0
1879.0,518.0
1899.0,518.0
1917.0,519.0
1935.0,518.0
1955.0,518.0
1973.0,517.0
1992.0,518.0
2010.0,517.0
2030.0,518.0
2048.0,517.0
2067.0,518.0
2086.0,518.0
2104.0,518.0
2123.0,517.0
2141.0,518.0
2161.0,518.0
2179.0,518.0
2198.0,517.0
2217.0,518.0
2236.0,519.0
2254.0,517.0
2272.0,516.0
2292.0,517.0
2310.0,518.0
2329.0,517.0
2348.0,517.0
2367.0,517.0
2385.0,517.0
2403.0,518.0
2423.0,517.0
2441.0,517.0
2460.0,518.0
2478.0,518.0
2498.0,517.0
2516.0,517.0
2535.0,518.0
2554.0,518.0
2572.0,517.0
2591.0,517.0
2609.0,518.0
2629.0,518.0
2647.0,517.0
2666.0,518.0
2685.0,518.0
2703.0,518.0
2722.0,517.0
2740.0,518.0
2760.0,518.0
2778.0,519.0
2797.0,517.0
2816.0,518.0
2835.0,518.0
2853.0,518.0
2871.0,517.0
2891.0,518.0
2909.0,517.0
2928.0,518.0
2947.0,518.0
2966.0,518.0
2984.0,518.0
3003.0,519.0
3022.0,518.0
3040.0,518.0
3059.0,518.0
3077.0,519.0
3097.0,518.0
3115.0,518.0
3134.0,518.0
3153.0,518.0
3171.0,517.0
3190.0,518.0
3208.0,518.0
3228.0,519.0
3246.0,518.0
3265.0,518.0
3284.0,518.0
3303.0,519.0
3321.0,518.0
3339.0,518.0
3359.0,518.0
3377.0,519.0
3396.0,518.0
3415.0,518.0
3434.0,518.0
3452.0,518.0
3470.0,517.0
3490.0,518.0
3508.0,518.0
3527.0,518.0
3546.0,518.0
3565.0,518.0
3583.0,518.0
3602.0,519.0
3621.0,518.0
3639.0,518.0
3658.0,517.0
3676.0,519.0
3696.0,518.0
3714.0,518.0
3733.0,518.0
3752.0,519.0
3771.0,518.0
3789.0,517.0
3807.0,517.0
3827.0,519.0
3845.0,518.0
3864.0,518.0
3883.0,516.0
3902.0,520.0
3920.0,516.0
3938.0,522.0
3958.0,514.0
3975.0,24.0
3993.0,28.0
4010.0,25.0
4029.0,26.0
4047.0,553.0
4065.0,532.0
4085.0,520.0
4103.0,526.0
4122.0,517.0
4140.0,517.0
4160.0,517.0
4178.0,517.0
4196.0,517.0
4216.0,517.0
4234.0,517.0
4253.0,517.0
4271.0,516.0
4291.0,517.0
4309.0,517.0
4328.0,517.0
4347.0,517.0
4365.0,517.0
