Time (s),Intensity
0.0,482.0
1.0,482.0
1.0,482.0
2.0,481.0
3.0,481.0
16.0,428.0
33.0,455.0
50.0,460.0
66.0,465.0
83.0,472.0
100.0,467.0
117.0,476.0
135.0,471.0
152.0,481.0
171.0,475.0
188.0,486.0
205.0,479.0
223.0,492.0
241.0,483.0
259.0,493.0
276.0,480.0
293.0,483.0
312.0,482.0
329.0,481.0
347.0,480.0
365.0,481.0
383.0,482.0
400.0,483.0
417.0,486.0
436.0,490.0
453.0,490.0
471.0,491.0
488.0,492.0
506.0,491.0
524.0,488.0
541.0,489.0
559.0,486.0
577.0,484.0
595.0,485.0
612.0,482.0
629.0,483.0
648.0,484.0
665.0,482.0
683.0,486.0
701.0,484.0
718.0,485.0
736.0,487.0
753.0,485.0
772.0,487.0
789.0,484.0
806.0,484.0
824.0,485.0
842.0,483.0
860.0,485.0
877.0,482.0
895.0,484.0
913.0,483.0
930.0,482.0
948.0,483.0
966.0,481.0
984.0,484.0
1001.0,483.0
1019.0,485.0
1039.0,485.0
1057.0,484.0
1076.0,486.0
1094.0,483.0
1114.0,485.0
1132.0,482.0
1151.0,483.0
1170.0,482.0
1188.0,482.0
1207.0,483.0
1225.0,482.0
1245.0,485.0
1263.0,483.0
1282.0,485.0
1301.0,483.0
1320.0,484.0
1338.0,484.0
1356.0,483.0
1376.0,482.0
1394.0,481.0
1413.0,483.0
1432.0,481.0
1451.0,484.0
1469.0,483.0
1487.0,484.0
1507.0,483.0
1525.0,483.0
1544.0,484.0
1563.0,482.0
1582.0,483.0
1600.0,481.0
1619.0,483.0
1638.0,482.0
1656.0,483.0
1675.0,483.0
1693.0,483.0
1713.0,484.0
1731.0,481.0
1750.0,483.0
1769.0,482.0
1787.0,483.0
1806.0,482.0
1824.0,482.0
1844.0,482.0
1862.0,482.0
1881.0,483.0
1900.0,481.0
1919.0,484.0
1937.0,482.0
1955.0,483.0
1975.0,482.0
1993.0,482.0
2012.0,483.0
2031.0,482.0
2050.0,482.0
2068.0,481.0
2086.0,482.0
2106.0,481.0
2124.0,482.0
2143.0,483.0
2162.0,483.0
2181.0,483.0
2199.0,481.0
2218.0,482.0
2237.0,481.0
2255.0,482.0
2274.0,482.0
2292.0,482.0
2312.0,484.0
2330.0,483.0
2349.0,482.0
2368.0,481.0
2387.0,483.0
2405.0,481.0
2423.0,481.0
2443.0,482.0
2461.0,482.0
2480.0,483.0
2499.0,482.0
2518.0,482.0
2536.0,482.0
2554.0,482.0
2574.0,482.0
2592.0,481.0
2611.0,483.0
2630.0,481.0
2649.0,482.0
2667.0,481.0
2686.0,483.0
2705.0,482.0
2723.0,481.0
2742.0,482.0
2761.0,482.0
2780.0,482.0
2798.0,481.0
2817.0,482.0
2836.0,482.0
2854.0,481.0
2873.0,482.0
2891.0,481.0
2911.0,482.0
2929.0,482.0
2948.0,482.0
2967.0,481.0
2986.0,481.0
3004.0,482.0
3022.0,481.0
3042.0,481.0
3060.0,482.0
3079.0,482.0
3098.0,482.0
3117.0,481.0
3135.0,482.0
3154.0,482.0
3173.0,481.0
3191.0,481.0
3210.0,482.0
3229.0,482.0
3248.0,481.0
3266.0,482.0
3285.0,482.0
3304.0,481.0
3322.0,482.0
3341.0,481.0
3360.0,482.0
3379.0,482.0
3397.0,481.0
3416.0,481.0
3435.0,481.0
3454.0,482.0
3472.0,481.0
3490.0,482.0
3510.0,482.0
3528.0,482.0
3547.0,482.0
3566.0,481.0
3585.0,482.0
3603.0,482.0
3621.0,481.0
3641.0,481.0
3659.0,482.0
3678.0,482.0
3697.0,482.0
3716.0,481.0
3734.0,481.0
3753.0,482.0
3772.0,481.0
3790.0,481.0
3809.0,482.0
3828.0,482.0
3847.0,482.0
3865.0,482.0
