Time (s),Intensity
1.0,441.0
2.0,441.0
2.0,441.0
3.0,441.0
4.0,442.0
8.0,442.0
22.0,395.0
36.0,417.0
50.0,424.0
65.0,418.0
80.0,427.0
94.0,434.0
109.0,428.0
124.0,435.0
140.0,437.0
156.0,425.0
171.0,427.0
186.0,436.0
203.0,431.0
218.0,432.0
234.0,428.0
249.0,439.0
264.0,443.0
281.0,443.0
296.0,443.0
311.0,441.0
327.0,441.0
343.0,441.0
358.0,441.0
374.0,442.0
389.0,442.0
406.0,442.0
421.0,443.0
436.0,442.0
452.0,442.0
468.0,441.0
483.0,441.0
499.0,442.0
514.0,442.0
529.0,443.0
546.0,442.0
561.0,442.0
577.0,442.0
592.0,441.0
608.0,441.0
624.0,442.0
639.0,440.0
654.0,442.0
671.0,442.0
686.0,442.0
701.0,442.0
717.0,442.0
732.0,441.0
749.0,442.0
764.0,442.0
779.0,442.0
795.0,442.0
811.0,441.0
826.0,441.0
842.0,441.0
857.0,441.0
874.0,441.0
889.0,442.0
904.0,442.0
920.0,442.0
936.0,442.0
951.0,442.0
967.0,441.0
982.0,441.0
997.0,442.0
1014.0,442.0
1030.0,442.0
1047.0,441.0
1063.0,442.0
1080.0,442.0
1097.0,441.0
1113.0,442.0
1130.0,442.0
1147.0,442.0
1163.0,442.0
1180.0,442.0
1196.0,442.0
1213.0,442.0
1230.0,442.0
1246.0,441.0
1263.0,441.0
1280.0,441.0
1296.0,442.0
1313.0,442.0
1329.0,442.0
1347.0,442.0
1363.0,442.0
1379.0,442.0
1396.0,442.0
1413.0,442.0
1430.0,442.0
1446.0,442.0
1462.0,442.0
1480.0,441.0
1496.0,442.0
1512.0,441.0
1529.0,442.0
1546.0,442.0
1563.0,442.0
1579.0,442.0
1595.0,442.0
1613.0,442.0
1629.0,442.0
1646.0,442.0
1662.0,441.0
1679.0,442.0
1696.0,442.0
1712.0,441.0
1729.0,441.0
1746.0,442.0
1762.0,442.0
1779.0,442.0
1795.0,442.0
1813.0,442.0
1829.0,442.0
1845.0,442.0
1862.0,441.0
1879.0,442.0
1895.0,442.0
1912.0,442.0
1928.0,442.0
1946.0,442.0
1962.0,442.0
1978.0,442.0
1995.0,442.0
2012.0,442.0
2029.0,442.0
2045.0,442.0
2061.0,442.0
2079.0,442.0
2095.0,442.0
2112.0,442.0
2128.0,442.0
2145.0,442.0
2162.0,442.0
2178.0,442.0
2194.0,442.0
2212.0,442.0
2228.0,442.0
2245.0,442.0
2261.0,442.0
2278.0,442.0
2295.0,442.0
2311.0,442.0
2328.0,441.0
2345.0,442.0
2361.0,442.0
2378.0,442.0
2394.0,441.0
2412.0,442.0
2428.0,442.0
2444.0,442.0
2461.0,442.0
2478.0,441.0
2495.0,442.0
2511.0,442.0
2527.0,441.0
2545.0,441.0
2561.0,442.0
2577.0,441.0
2594.0,442.0
2611.0,442.0
2628.0,441.0
2644.0,441.0
2660.0,442.0
2678.0,442.0
2694.0,442.0
2711.0,442.0
2727.0,441.0
2744.0,442.0
2761.0,442.0
2777.0,442.0
2794.0,441.0
2811.0,442.0
2827.0,442.0
2844.0,442.0
2860.0,441.0
2877.0,442.0
2894.0,442.0
2910.0,442.0
2927.0,442.0
2944.0,442.0
2960.0,442.0
2977.0,441.0
2993.0,442.0
3011.0,442.0
3027.0,442.0
3043.0,441.0
3060.0,441.0
3077.0,441.0
3094.0,442.0
3110.0,441.0
3126.0,441.0
3144.0,441.0
3160.0,441.0
3176.0,440.0
3193.0,436.0
3210.0,435.0
3227.0,440.0
3242.0,15.0
3258.0,171.0
3276.0,246.0
3292.0,442.0
3309.0,441.0
3325.0,441.0
3342.0,442.0
3359.0,441.0
3375.0,441.0
3392.0,441.0
3409.0,441.0
3425.0,441.0
3442.0,441.0
3458.0,441.0
3475.0,441.0
3492.0,441.0
3508.0,441.0
3525.0,441.0
3542.0,441.0
3558.0,441.0
3575.0,441.0
3591.0,441.0
3609.0,441.0
3625.0,441.0
3641.0,441.0
3658.0,441.0
3675.0,441.0
3692.0,441.0
3708.0,441.0
3724.0,441.0
3742.0,441.0
3758.0,441.0
3775.0,441.0
3791.0,441.0
3808.0,441.0
3825.0,441.0
3841.0,441.0
3857.0,441.0
3875.0,441.0
3891.0,441.0
3908.0,441.0
3924.0,441.0
3941.0,441.0
3958.0,441.0
3974.0,441.0
3991.0,441.0
4008.0,441.0
4024.0,441.0
4041.0,441.0
4057.0,441.0
4075.0,441.0
4091.0,441.0
4107.0,441.0
4124.0,440.0
4141.0,441.0
4157.0,441.0
4174.0,441.0
4190.0,441.0
4208.0,441.0
4224.0,441.0
4240.0,441.0
4257.0,441.0
4274.0,441.0
4291.0,440.0
4307.0,440.0
4323.0,440.0
4341.0,440.0
4357.0,440.0
4374.0,440.0
4390.0,440.0
4407.0,440.0
4424.0,440.0
4440.0,440.0
4456.0,439.0
4474.0,440.0
4490.0,439.0
4507.0,439.0
4523.0,439.0
4540.0,439.0
