Time (s),Intensity
1.0,444.0
2.0,445.0
3.0,444.0
4.0,445.0
4.0,444.0
8.0,444.0
21.0,444.0
35.0,429.0
51.0,415.0
65.0,426.0
80.0,428.0
94.0,438.0
108.0,426.0
125.0,433.0
140.0,436.0
155.0,428.0
171.0,431.0
187.0,437.0
202.0,428.0
218.0,433.0
233.0,440.0
249.0,431.0
265.0,445.0
280.0,445.0
296.0,445.0
311.0,444.0
327.0,444.0
343.0,442.0
358.0,443.0
373.0,444.0
390.0,444.0
405.0,444.0
421.0,444.0
436.0,445.0
452.0,444.0
468.0,444.0
483.0,445.0
498.0,444.0
514.0,444.0
530.0,444.0
545.0,444.0
561.0,444.0
576.0,444.0
593.0,444.0
608.0,444.0
623.0,443.0
639.0,444.0
655.0,444.0
670.0,444.0
686.0,444.0
701.0,445.0
717.0,444.0
733.0,444.0
748.0,444.0
764.0,444.0
779.0,444.0
795.0,444.0
811.0,444.0
826.0,444.0
841.0,444.0
858.0,444.0
873.0,444.0
888.0,443.0
904.0,444.0
920.0,444.0
936.0,444.0
951.0,445.0
966.0,444.0
983.0,444.0
998.0,444.0
1013.0,444.0
1030.0,444.0
1046.0,444.0
1064.0,444.0
1080.0,443.0
1096.0,443.0
1113.0,443.0
1130.0,443.0
1147.0,444.0
1163.0,444.0
1179.0,443.0
1197.0,443.0
1213.0,443.0
1229.0,443.0
1246.0,443.0
1263.0,444.0
1280.0,443.0
1296.0,443.0
1312.0,443.0
1330.0,443.0
1346.0,443.0
1363.0,443.0
1379.0,443.0
1396.0,442.0
1413.0,443.0
1429.0,443.0
1446.0,443.0
1463.0,444.0
1479.0,443.0
1496.0,443.0
1512.0,443.0
1529.0,443.0
1546.0,443.0
1562.0,444.0
1579.0,443.0
1596.0,443.0
1612.0,443.0
1629.0,443.0
1645.0,442.0
1663.0,443.0
1679.0,442.0
1695.0,442.0
1712.0,442.0
1729.0,442.0
1746.0,442.0
1762.0,442.0
1778.0,443.0
1796.0,442.0
1812.0,442.0
1829.0,442.0
1845.0,442.0
1862.0,442.0
1879.0,442.0
1895.0,442.0
1911.0,442.0
1929.0,442.0
1945.0,442.0
1962.0,442.0
1978.0,442.0
1995.0,442.0
2012.0,442.0
2028.0,442.0
2045.0,442.0
2062.0,442.0
2078.0,442.0
2095.0,442.0
2111.0,442.0
2129.0,442.0
2145.0,442.0
2161.0,442.0
2178.0,442.0
2195.0,442.0
2211.0,442.0
2228.0,442.0
2244.0,442.0
2262.0,442.0
2278.0,442.0
2294.0,442.0
2311.0,442.0
2328.0,442.0
2345.0,442.0
2361.0,442.0
2377.0,442.0
2395.0,442.0
2411.0,442.0
2428.0,442.0
2444.0,442.0
2461.0,442.0
2478.0,442.0
2494.0,442.0
2510.0,442.0
2528.0,442.0
2544.0,442.0
2561.0,442.0
2577.0,442.0
2594.0,442.0
2611.0,442.0
2627.0,442.0
2644.0,442.0
2661.0,442.0
2677.0,442.0
2694.0,443.0
2710.0,442.0
2728.0,442.0
2744.0,442.0
2760.0,442.0
2777.0,442.0
2794.0,442.0
2811.0,443.0
2827.0,442.0
2843.0,442.0
2861.0,442.0
2877.0,442.0
2893.0,442.0
2910.0,442.0
2927.0,442.0
2944.0,442.0
2960.0,442.0
2976.0,442.0
2994.0,442.0
3010.0,443.0
3027.0,442.0
3043.0,443.0
3060.0,442.0
3077.0,442.0
3093.0,440.0
3110.0,439.0
3127.0,438.0
3142.0,13.0
3158.0,81.0
3173.0,14.0
3190.0,444.0
3207.0,444.0
3223.0,442.0
3240.0,441.0
3257.0,441.0
3273.0,441.0
3290.0,441.0
3306.0,442.0
3324.0,442.0
3340.0,441.0
3356.0,441.0
3373.0,441.0
3390.0,441.0
3406.0,442.0
3423.0,442.0
3439.0,441.0
3457.0,442.0
3473.0,442.0
3489.0,441.0
3506.0,441.0
3523.0,442.0
3540.0,442.0
3556.0,442.0
3572.0,442.0
3590.0,441.0
3606.0,441.0
3623.0,442.0
3639.0,442.0
3656.0,442.0
3673.0,442.0
3689.0,442.0
3705.0,442.0
3723.0,441.0
3739.0,442.0
3756.0,442.0
3772.0,442.0
3789.0,442.0
3806.0,442.0
3822.0,441.0
3839.0,441.0
3856.0,441.0
3872.0,442.0
3889.0,442.0
3905.0,441.0
3923.0,441.0
3939.0,442.0
3955.0,442.0
3972.0,441.0
3989.0,441.0
