Time (s),Intensity
1.0,477.0
0.0,477.0
1.0,477.0
2.0,477.0
3.0,477.0
16.0,476.0
33.0,433.0
50.0,440.0
66.0,459.0
83.0,458.0
99.0,459.0
117.0,460.0
134.0,464.0
151.0,462.0
169.0,473.0
187.0,467.0
205.0,468.0
222.0,471.0
241.0,478.0
258.0,473.0
275.0,484.0
293.0,480.0
311.0,478.0
329.0,481.0
346.0,481.0
363.0,478.0
382.0,478.0
399.0,477.0
417.0,479.0
434.0,479.0
452.0,480.0
470.0,481.0
487.0,483.0
506.0,484.0
523.0,485.0
541.0,487.0
558.0,487.0
576.0,487.0
594.0,486.0
611.0,484.0
629.0,480.0
647.0,479.0
664.0,479.0
682.0,481.0
699.0,482.0
718.0,483.0
735.0,484.0
753.0,483.0
771.0,480.0
788.0,479.0
806.0,480.0
823.0,482.0
842.0,481.0
859.0,481.0
876.0,482.0
894.0,484.0
912.0,483.0
930.0,480.0
947.0,480.0
964.0,481.0
983.0,478.0
1000.0,477.0
1019.0,481.0
1038.0,481.0
1057.0,480.0
1075.0,484.0
1093.0,484.0
1113.0,482.0
1131.0,484.0
1150.0,482.0
1168.0,481.0
1188.0,481.0
1206.0,478.0
1225.0,479.0
1244.0,481.0
1262.0,478.0
1281.0,481.0
1299.0,481.0
1319.0,481.0
1337.0,483.0
1356.0,481.0
1375.0,481.0
1394.0,482.0
1412.0,480.0
1430.0,481.0
1450.0,480.0
1468.0,480.0
1487.0,481.0
1506.0,478.0
1525.0,480.0
1543.0,480.0
1561.0,479.0
1581.0,480.0
1599.0,478.0
1618.0,481.0
1637.0,479.0
1656.0,478.0
1674.0,480.0
1693.0,478.0
1712.0,480.0
1730.0,479.0
1749.0,477.0
1767.0,481.0
1787.0,478.0
1805.0,479.0
1824.0,479.0
1843.0,479.0
1861.0,480.0
1880.0,478.0
1898.0,479.0
1918.0,479.0
1936.0,478.0
1955.0,480.0
1974.0,478.0
1993.0,480.0
2011.0,480.0
2029.0,479.0
2049.0,480.0
2067.0,478.0
2086.0,480.0
2105.0,479.0
2124.0,478.0
2142.0,480.0
2161.0,478.0
2180.0,479.0
2198.0,479.0
2217.0,479.0
2236.0,480.0
2255.0,478.0
2273.0,479.0
2292.0,480.0
2311.0,478.0
2329.0,480.0
2348.0,478.0
2366.0,480.0
2386.0,480.0
2404.0,478.0
2423.0,480.0
2442.0,479.0
2461.0,479.0
2479.0,479.0
2497.0,478.0
2517.0,480.0
2535.0,479.0
2554.0,479.0
2573.0,480.0
2592.0,478.0
2610.0,480.0
2628.0,478.0
2648.0,478.0
2666.0,480.0
2685.0,479.0
2704.0,479.0
2723.0,479.0
2741.0,479.0
2760.0,480.0
2779.0,478.0
2797.0,479.0
2816.0,479.0
2835.0,478.0
2854.0,479.0
2872.0,478.0
2891.0,478.0
2910.0,480.0
2929.0,478.0
2947.0,479.0
2965.0,479.0
2985.0,478.0
3003.0,478.0
3022.0,478.0
3041.0,478.0
3060.0,480.0
3078.0,478.0
3096.0,479.0
3116.0,479.0
3134.0,478.0
3153.0,479.0
3172.0,478.0
3191.0,478.0
3209.0,479.0
3228.0,478.0
3247.0,479.0
3265.0,479.0
3284.0,479.0
3303.0,479.0
3322.0,478.0
3340.0,478.0
3359.0,479.0
3378.0,478.0
3396.0,478.0
3415.0,480.0
3434.0,478.0
3453.0,479.0
3471.0,477.0
3490.0,478.0
3509.0,479.0
3528.0,478.0
3546.0,478.0
3564.0,479.0
3584.0,479.0
3602.0,479.0
3621.0,478.0
3640.0,478.0
3659.0,480.0
3677.0,477.0
3695.0,478.0
3715.0,479.0
3733.0,478.0
3752.0,479.0
3771.0,478.0
3790.0,478.0
3808.0,479.0
3827.0,478.0
3846.0,479.0
3864.0,478.0
3883.0,478.0
3902.0,478.0
3921.0,477.0
3939.0,478.0
3958.0,479.0
3977.0,478.0
3996.0,477.0
4014.0,479.0
4033.0,478.0
4052.0,478.0
4070.0,477.0
4089.0,478.0
4108.0,479.0
4127.0,478.0
4145.0,479.0
4163.0,479.0
4183.0,478.0
4201.0,478.0
4220.0,477.0
4239.0,477.0
4258.0,478.0
4276.0,478.0
4295.0,479.0
4314.0,479.0
4332.0,478.0
4351.0,478.0
4370.0,477.0
4389.0,477.0
4407.0,479.0
4426.0,478.0
4445.0,478.0
4463.0,479.0
4482.0,478.0
4501.0,478.0
4520.0,476.0
4538.0,478.0
4557.0,479.0
4576.0,478.0
4595.0,478.0
4613.0,478.0
4632.0,478.0
4651.0,478.0
4669.0,477.0
4688.0,477.0
4707.0,479.0
4726.0,478.0
4744.0,479.0
4762.0,479.0
4782.0,478.0
4800.0,478.0
4819.0,477.0
4838.0,478.0
4857.0,479.0
4875.0,479.0
4894.0,479.0
4913.0,479.0
4931.0,478.0
4950.0,478.0
4969.0,478.0
4988.0,478.0
5006.0,479.0
5025.0,479.0
5044.0,478.0
5063.0,479.0
5081.0,479.0
5100.0,479.0
5119.0,478.0
5137.0,478.0
5156.0,479.0
5175.0,479.0
5194.0,479.0
5212.0,480.0
5231.0,480.0
5250.0,479.0
5268.0,479.0
5287.0,478.0
5306.0,478.0
5325.0,479.0
5343.0,478.0
5362.0,479.0
5381.0,479.0
5399.0,479.0
5418.0,478.0
5437.0,478.0
5456.0,478.0
5474.0,479.0
5493.0,478.0
5512.0,479.0
5530.0,479.0
5549.0,478.0
5568.0,478.0
5587.0,478.0
5605.0,479.0
5624.0,479.0
5643.0,478.0
5662.0,479.0
5680.0,479.0
5699.0,478.0
5718.0,477.0
5736.0,478.0
5755.0,478.0
5774.0,478.0
5793.0,478.0
5811.0,479.0
5831.0,479.0
5849.0,477.0
5867.0,477.0
5886.0,478.0
5905.0,478.0
5924.0,479.0
5942.0,478.0
5961.0,478.0
5980.0,478.0
5998.0,477.0
6017.0,477.0
6036.0,478.0
6055.0,478.0
6073.0,478.0
6092.0,477.0
6111.0,478.0
6130.0,477.0
6148.0,477.0
6167.0,477.0
6186.0,478.0
6204.0,479.0
6223.0,478.0
6242.0,477.0
6261.0,478.0
6279.0,477.0
6298.0,477.0
6317.0,477.0
6335.0,478.0
6354.0,478.0
6373.0,478.0
6392.0,477.0
6410.0,478.0
6430.0,478.0
6448.0,477.0
6466.0,477.0
6485.0,477.0
6504.0,478.0
6523.0,478.0
6541.0,477.0
6560.0,477.0
6579.0,478.0
6597.0,478.0
6616.0,477.0
6635.0,477.0
6654.0,478.0
6672.0,478.0
6691.0,477.0
6710.0,477.0
6729.0,478.0
6747.0,478.0
6766.0,477.0
6785.0,478.0
6803.0,478.0
6822.0,478.0
6841.0,477.0
6860.0,477.0
6878.0,478.0
6898.0,477.0
6916.0,477.0
6934.0,477.0
6953.0,477.0
6972.0,477.0
6991.0,477.0
7009.0,478.0
7029.0,478.0
7047.0,477.0
7065.0,477.0
7084.0,477.0
7103.0,478.0
7122.0,478.0
7140.0,477.0
7159.0,477.0
7178.0,478.0
7197.0,477.0
7215.0,477.0
7234.0,477.0
7253.0,478.0
7271.0,478.0
7290.0,477.0
7309.0,477.0
7328.0,478.0
7346.0,477.0
7365.0,477.0
7384.0,477.0
7402.0,478.0
7421.0,478.0
7440.0,477.0
7459.0,477.0
7477.0,478.0
7497.0,477.0
7515.0,477.0
7533.0,477.0
7552.0,478.0
7571.0,477.0
7590.0,477.0
7608.0,477.0
7628.0,478.0
7646.0,477.0
7665.0,478.0
7683.0,477.0
7702.0,478.0
7721.0,478.0
7739.0,477.0
7758.0,477.0
7777.0,478.0
7796.0,478.0
7814.0,477.0
7833.0,476.0
7852.0,480.0
7870.0,478.0
7889.0,476.0
7908.0,475.0
7927.0,485.0
7945.0,487.0
7965.0,478.0
7983.0,440.0
8000.0,30.0
8018.0,31.0
8036.0,26.0
8054.0,16.0
8071.0,21.0
8088.0,23.0
8107.0,20.0
8124.0,22.0
8143.0,190.0
8162.0,318.0
8181.0,479.0
8199.0,489.0
8217.0,492.0
8237.0,478.0
8255.0,479.0
8274.0,484.0
8293.0,478.0
8312.0,479.0
8330.0,478.0
8349.0,477.0
8368.0,478.0
8386.0,478.0
8405.0,477.0
8423.0,477.0
8443.0,477.0
8461.0,477.0
8480.0,477.0
8499.0,477.0
8517.0,478.0
8536.0,478.0
8554.0,477.0
8574.0,477.0
8592.0,477.0
8611.0,478.0
8630.0,477.0
8649.0,477.0
8667.0,477.0
8685.0,477.0
8705.0,477.0
8723.0,477.0
8742.0,478.0
8761.0,477.0
8780.0,477.0
8798.0,477.0
8817.0,477.0
8836.0,477.0
8854.0,477.0
8873.0,477.0
8892.0,477.0
8911.0,477.0
8929.0,477.0
8948.0,477.0
8967.0,477.0
8985.0,478.0
9004.0,477.0
9022.0,477.0
9042.0,477.0
9060.0,477.0
9079.0,477.0
9098.0,477.0
9117.0,477.0
9135.0,477.0
9153.0,477.0
9173.0,477.0
9191.0,477.0
9210.0,477.0
9229.0,476.0
9248.0,476.0
9266.0,477.0
9284.0,477.0
9304.0,477.0
9322.0,477.0
9341.0,478.0
9360.0,477.0
9379.0,476.0
9397.0,477.0
9416.0,477.0
9435.0,477.0
9453.0,477.0
9472.0,477.0
9491.0,477.0
9510.0,477.0
9528.0,477.0
9547.0,477.0
9566.0,477.0
9585.0,477.0
9603.0,477.0
9621.0,477.0
9641.0,477.0
9659.0,478.0
9678.0,477.0
9697.0,477.0
9716.0,477.0
9734.0,478.0
9752.0,477.0
9772.0,477.0
9790.0,477.0
9809.0,477.0
9828.0,476.0
9847.0,476.0
9865.0,477.0
9884.0,477.0
9903.0,477.0
9921.0,476.0
9940.0,477.0
9959.0,477.0
9978.0,476.0
9996.0,476.0
10015.0,477.0
10035.0,477.0
10055.0,477.0
10074.0,477.0
10094.0,476.0
10114.0,477.0
10133.0,477.0
10153.0,477.0
10173.0,477.0
10193.0,477.0
10212.0,477.0
10233.0,478.0
10252.0,477.0
10272.0,477.0
10292.0,478.0
10312.0,477.0
10331.0,477.0
10350.0,478.0
10371.0,477.0
10390.0,478.0
10410.0,477.0
10430.0,477.0
10450.0,478.0
10469.0,477.0
10490.0,477.0
10509.0,477.0
10529.0,477.0
10548.0,478.0
10569.0,478.0
10588.0,477.0
10607.0,478.0
10628.0,477.0
10647.0,477.0
10667.0,478.0
10686.0,477.0
10707.0,477.0
10726.0,477.0
10746.0,477.0
10766.0,478.0
10786.0,477.0
10805.0,478.0
10826.0,478.0
10845.0,477.0
10865.0,478.0
10884.0,478.0
10904.0,477.0
10924.0,478.0
10943.0,477.0
10964.0,477.0
10983.0,478.0
11003.0,477.0
11023.0,478.0
11043.0,477.0
