Time (s),Intensity
1.0,521.0
2.0,521.0
3.0,521.0
5.0,520.0
6.0,520.0
7.0,520.0
8.0,520.0
9.0,520.0
10.0,520.0
11.0,520.0
12.0,520.0
13.0,521.0
14.0,520.0
15.0,519.0
16.0,521.0
17.0,521.0
18.0,520.0
19.0,520.0
20.0,491.0
21.0,467.0
22.0,504.0
23.0,466.0
24.0,478.0
25.0,474.0
26.0,477.0
27.0,479.0
28.0,481.0
29.0,505.0
30.0,478.0
31.0,501.0
32.0,485.0
33.0,488.0
34.0,484.0
35.0,490.0
36.0,506.0
37.0,491.0
38.0,510.0
39.0,486.0
40.0,489.0
41.0,490.0
42.0,489.0
43.0,501.0
44.0,495.0
45.0,510.0
46.0,495.0
48.0,496.0
49.0,494.0
50.0,493.0
51.0,499.0
52.0,493.0
53.0,510.0
54.0,498.0
55.0,502.0
56.0,496.0
57.0,501.0
58.0,494.0
59.0,496.0
60.0,511.0
61.0,499.0
62.0,513.0
63.0,497.0
64.0,498.0
65.0,495.0
66.0,500.0
67.0,509.0
68.0,500.0
69.0,514.0
70.0,502.0
71.0,505.0
72.0,501.0
73.0,504.0
74.0,507.0
75.0,504.0
76.0,514.0
77.0,503.0
78.0,511.0
79.0,503.0
80.0,505.0
81.0,501.0
82.0,503.0
83.0,510.0
84.0,503.0
85.0,514.0
86.0,500.0
87.0,505.0
88.0,501.0
90.0,506.0
91.0,503.0
92.0,504.0
93.0,512.0
94.0,502.0
95.0,514.0
96.0,504.0
97.0,508.0
98.0,503.0
99.0,505.0
100.0,504.0
101.0,502.0
102.0,514.0
103.0,506.0
104.0,512.0
105.0,502.0
106.0,505.0
107.0,504.0
108.0,506.0
109.0,510.0
110.0,503.0
111.0,514.0
112.0,506.0
113.0,511.0
114.0,502.0
115.0,504.0
116.0,504.0
117.0,507.0
118.0,512.0
119.0,503.0
120.0,515.0
121.0,505.0
122.0,507.0
123.0,501.0
124.0,506.0
125.0,503.0
126.0,505.0
127.0,513.0
128.0,506.0
129.0,515.0
130.0,503.0
131.0,506.0
133.0,504.0
134.0,506.0
135.0,509.0
136.0,506.0
137.0,517.0
138.0,504.0
139.0,508.0
140.0,506.0
141.0,505.0
142.0,502.0
143.0,505.0
144.0,514.0
145.0,505.0
146.0,514.0
147.0,505.0
148.0,508.0
149.0,501.0
150.0,508.0
151.0,510.0
152.0,504.0
153.0,515.0
154.0,505.0
155.0,510.0
156.0,504.0
157.0,508.0
158.0,504.0
159.0,504.0
160.0,515.0
161.0,505.0
162.0,511.0
163.0,506.0
164.0,506.0
165.0,501.0
166.0,508.0
167.0,511.0
168.0,504.0
169.0,515.0
170.0,504.0
171.0,507.0
172.0,505.0
173.0,505.0
174.0,502.0
176.0,507.0
177.0,515.0
178.0,504.0
179.0,512.0
180.0,504.0
181.0,506.0
182.0,504.0
183.0,505.0
184.0,510.0
185.0,507.0
186.0,516.0
187.0,503.0
188.0,510.0
189.0,505.0
190.0,511.0
191.0,519.0
192.0,517.0
193.0,519.0
194.0,517.0
195.0,522.0
196.0,522.0
197.0,524.0
198.0,522.0
199.0,520.0
200.0,520.0
201.0,518.0
202.0,521.0
203.0,520.0
204.0,524.0
205.0,520.0
206.0,520.0
207.0,521.0
208.0,521.0
209.0,523.0
210.0,521.0
211.0,526.0
212.0,521.0
213.0,521.0
214.0,520.0
215.0,521.0
216.0,521.0
218.0,515.0
219.0,521.0
220.0,521.0
221.0,521.0
222.0,521.0
223.0,520.0
224.0,520.0
225.0,520.0
226.0,520.0
227.0,520.0
228.0,520.0
229.0,520.0
230.0,520.0
231.0,520.0
232.0,520.0
233.0,520.0
234.0,520.0
235.0,520.0
236.0,522.0
237.0,519.0
238.0,505.0
239.0,520.0
240.0,520.0
241.0,520.0
242.0,517.0
243.0,520.0
244.0,521.0
245.0,521.0
246.0,521.0
247.0,520.0
248.0,520.0
