Time (s),Intensity
6968.0,527.0
6987.0,527.0
7005.0,527.0
7023.0,527.0
7043.0,527.0
6.0,529.0
7.0,529.0
8.0,529.0
9.0,528.0
22.0,528.0
38.0,528.0
56.0,528.0
72.0,528.0
89.0,528.0
105.0,528.0
123.0,528.0
141.0,528.0
158.0,510.0
177.0,501.0
194.0,505.0
211.0,509.0
229.0,523.0
247.0,515.0
265.0,511.0
282.0,511.0
300.0,518.0
318.0,513.0
335.0,511.0
353.0,520.0
370.0,512.0
389.0,512.0
406.0,516.0
423.0,512.0
441.0,523.0
459.0,531.0
477.0,527.0
494.0,527.0
513.0,528.0
530.0,527.0
547.0,527.0
565.0,528.0
583.0,527.0
601.0,527.0
618.0,527.0
635.0,527.0
654.0,528.0
671.0,528.0
689.0,527.0
706.0,528.0
724.0,527.0
742.0,527.0
759.0,527.0
778.0,527.0
795.0,528.0
813.0,528.0
830.0,528.0
848.0,527.0
866.0,527.0
883.0,527.0
901.0,527.0
919.0,527.0
936.0,528.0
954.0,527.0
971.0,528.0
990.0,527.0
1007.0,527.0
1026.0,526.0
1045.0,526.0
1063.0,528.0
1082.0,527.0
1100.0,527.0
1120.0,527.0
1138.0,528.0
1157.0,527.0
1176.0,527.0
1195.0,527.0
1213.0,528.0
1231.0,527.0
1251.0,527.0
1269.0,527.0
1288.0,528.0
1306.0,527.0
1326.0,526.0
1344.0,528.0
1362.0,528.0
1382.0,528.0
1400.0,527.0
1419.0,527.0
1437.0,528.0
1457.0,527.0
1475.0,526.0
1494.0,527.0
1000.0,527.0
1001.0,528.0
1002.0,528.0
1003.0,528.0
1015.0,527.0
1033.0,528.0
1053.0,528.0
1071.0,527.0
1089.0,527.0
1108.0,527.0
1127.0,527.0
1146.0,526.0
1164.0,526.0
1184.0,528.0
1202.0,528.0
1221.0,527.0
1239.0,527.0
1258.0,527.0
1277.0,527.0
1295.0,526.0
1315.0,527.0
1333.0,527.0
1352.0,528.0
1370.0,527.0
1389.0,527.0
1408.0,527.0
1426.0,528.0
1446.0,527.0
1464.0,527.0
1483.0,528.0
1501.0,528.0
1521.0,527.0
1539.0,527.0
1557.0,527.0
1577.0,528.0
1595.0,527.0
1614.0,527.0
1632.0,527.0
1652.0,528.0
1670.0,527.0
1689.0,527.0
1707.0,527.0
1726.0,528.0
1745.0,527.0
1763.0,527.0
1783.0,527.0
1801.0,527.0
1820.0,527.0
1838.0,527.0
1857.0,527.0
1876.0,527.0
1894.0,527.0
1914.0,527.0
1932.0,527.0
1951.0,528.0
1969.0,527.0
1989.0,527.0
2007.0,527.0
2025.0,527.0
2045.0,527.0
2063.0,527.0
2082.0,527.0
2100.0,528.0
2120.0,528.0
2138.0,527.0
2156.0,527.0
2176.0,527.0
2194.0,527.0
2213.0,526.0
2231.0,527.0
2251.0,528.0
2269.0,527.0
2288.0,526.0
2306.0,527.0
2325.0,527.0
2344.0,527.0
2362.0,527.0
2382.0,527.0
2400.0,528.0
2419.0,528.0
2437.0,527.0
2457.0,527.0
2475.0,528.0
2493.0,528.0
2513.0,527.0
2531.0,528.0
2550.0,528.0
2568.0,527.0
2588.0,528.0
2606.0,527.0
2624.0,527.0
2644.0,527.0
2662.0,527.0
2681.0,527.0
2699.0,528.0
2719.0,528.0
2737.0,527.0
2756.0,527.0
2775.0,528.0
2793.0,527.0
2812.0,527.0
2830.0,527.0
2850.0,528.0
2868.0,527.0
2887.0,527.0
2905.0,527.0
2924.0,527.0
2943.0,527.0
2961.0,527.0
2981.0,527.0
2999.0,528.0
3018.0,528.0
3036.0,527.0
3056.0,527.0
3074.0,528.0
3092.0,527.0
3112.0,527.0
3130.0,528.0
3149.0,528.0
3167.0,528.0
3187.0,528.0
3205.0,527.0
3223.0,527.0
3243.0,527.0
3261.0,527.0
3280.0,527.0
3298.0,527.0
3318.0,528.0
3336.0,527.0
3355.0,526.0
3374.0,527.0
3392.0,527.0
3411.0,526.0
3429.0,526.0
3449.0,527.0
3467.0,527.0
3486.0,527.0
3504.0,526.0
3524.0,527.0
3542.0,526.0
3560.0,526.0
3580.0,526.0
3598.0,526.0
3617.0,527.0
3635.0,527.0
3655.0,526.0
3673.0,526.0
3691.0,526.0
3711.0,526.0
3729.0,526.0
3748.0,526.0
3766.0,527.0
3786.0,526.0
3804.0,526.0
3823.0,526.0
3842.0,527.0
3860.0,527.0
3879.0,526.0
3897.0,526.0
3917.0,527.0
3935.0,527.0
3954.0,527.0
3973.0,526.0
3991.0,527.0
4010.0,527.0
4028.0,526.0
4048.0,527.0
4066.0,527.0
4085.0,527.0
4103.0,526.0
4123.0,526.0
4141.0,527.0
4159.0,527.0
4179.0,526.0
4197.0,527.0
4216.0,527.0
4234.0,527.0
4254.0,527.0
4272.0,526.0
4290.0,527.0
4310.0,527.0
4328.0,526.0
4347.0,526.0
4365.0,527.0
4385.0,527.0
4403.0,526.0
4422.0,526.0
4441.0,526.0
4459.0,527.0
4478.0,525.0
4496.0,526.0
4516.0,526.0
4534.0,526.0
4553.0,526.0
4572.0,526.0
4591.0,526.0
4609.0,526.0
4627.0,525.0
4647.0,525.0
4665.0,525.0
4684.0,526.0
4702.0,525.0
4722.0,525.0
4740.0,525.0
4758.0,525.0
4778.0,524.0
4796.0,524.0
4815.0,525.0
4833.0,525.0
4853.0,524.0
4871.0,524.0
4890.0,525.0
4909.0,524.0
4927.0,524.0
4946.0,524.0
4964.0,524.0
4984.0,525.0
5002.0,524.0
5021.0,523.0
